#,Subject,Author,Status,Related issues,Description
37365,Allow users to choose textile or markdown formatting,Christian Kay,Closed,"Related to #34863, Is duplicate of #8095","Currently you can only set the the Text formatting to Textile or Markdown globally. You can't manually select what you prefer at user/issue/project base.

Additionally upgrading from Textile to Markdown is error prone and at some size it is not manageable to manually fix the caused problems due conversion (Reformat plugin).
So there is no reasonable way to convert from textile to markdown. 
Even then long term users might insist that they are used to textile and they do not know markdown (ofc there is a workaround, learning a new syntax).

Please add the possibility to choose the formatting at user/issue/project base.
Without the option a transition from textile to markdown is pretty impossible (old stuff could keep textile, new stuff markdown)."
37133,Add solar date to Redmine,Abbas Samgani,Closed,Is duplicate of #12889,"Redmine is a very useful tool for project management, but due to lack of +solar date+ we can not use it.
Please add the *solar date feature* to the project if possible."
36942,Admin status messages on every page,C S,Closed,Is duplicate of #36182,"Due to the current situation, I wish there was a way to display a message at the top of every page you visit, so that everyone knows that we are currently having a technical problem ;)"
36805,Update Rails to 7,Marius BĂLTEANU,Closed,"",""
36504,PDF preview in attachment Page,Daniel Koch,Closed,Is duplicate of #22483,"if u have enabled PDF Thumpnailsupport and click on a Thumnail u get redirected to the attachment Page, but there is no preview of the file itself, it should be also possible to show the PDF file."
36246,Multi project csv import,Cristian Bazzucco,Closed,Is duplicate of #25808,"Hi, now the issue import function is limited to a single project.
Why don't extend it to multiple project using his own column?"
36198,Set standard columns in the ticket listing options based on projects,C S,Closed,Is duplicate of #7360,"Currently this can only be set globally in the system configuration.

But since we have different types of projects, each with their own, user-defined fields, we cannot link these displays to the respective project.

So it would be great if the global setting option could be adapted in the individual project configurations"
36183,"Dynamic decimal separator, according to country setting",C S,Closed,Related to #22024,"Currently, glide ratios must be entered with a point as a decimal separator. However, this is not common worldwide, in Germany the comma is used for this and the point as a thousand separator.

It would be great if Redmine could take this into account according to the country / language setting ..."
35989,Plugin that Includes spent hours in issues REST API responses,Anonymous,Closed,Is duplicate of #34857,"Hi there,

I wrote a plugin which extends original issues' REST API feature with following:

* include spent hours in records of responses to REST API request

If this UX is built in to original Redmine, I'm happy!

Built for Redmine 4.1.
"
35747,Allow style attribute for HTML elements in CommonMark formatter,Go MAEDA,Closed,"Related to #32424, Has duplicate #37237","The CommonMark formatter introduced by #32424 currently does not allow style attribute for HTML elements.

If the attribute is allowed, you can decorate text as follows.

<pre>
<span style=""color: red;"">IMPORTANT NOTICE</span>
</pre>"
35686,Add configured theme and whether it includes JavaScript to Redmine::Info.,Mischa The Evil,Closed,Is duplicate of #32116,"Given that a fair amount of (UI) issues are caused by a third-party theme (see e.g. recently closed #35258 and #35534), it would be really helpful if information about the configured theme and whether it includes JavaScript is added to @Redmine::Info@.

Example:

!2021-08-05_01-36-12.png!

I'll leave a patch against current trunk."
35685,Support for MySQL > 5.7 or MariaDB,Martin Jungowski,Closed,"Related to #39437, Related to #19395","Given that I cannot see anything on the roadmap I'd like to ask what the state of MySQL support is. As stated on the Install page the latest officially supported release is MySQL 5.6, which has been EOL since February of 2021. MySQL 5.7 seems to work just fine but is not yet officially supported (it's on the roadmap for the next major release after 5.0!) and has an EOL date of October 2023 (aka slightly over 2 years from today). At the current speed of development I fear that MySQL will be EOL long before it is officially supported by Redmine. MariaDB is not supported at all.

Any insight?"
35509,Description of issue statuses,Ivan Cenov,Closed,Is duplicate of #2568,I think that issue statuses will benefit from an additional description field. This field may contain information about the status. Also this description may appear on balloon when users hover with mouse over the status names.
35216,Create/Update custom fields via API,Luny Luny,Closed,Is duplicate of #9664,"To maintain my custom fields I would like to update the values with a job using the API

<pre>
PUT http://redmine.org/custom_fields/8
</pre>

<pre>
        <id>8</id>
        <name>ApiTestField</name>
        <customized_type>issue</customized_type>
        <field_format>list</field_format>
        <regexp></regexp>
        <min_length/>
        <max_length/>
        <is_required>false</is_required>
        <is_filter>false</is_filter>
        <searchable>false</searchable>
        <multiple>false</multiple>
        <default_value></default_value>
        <visible>true</visible>
        <possible_values type=""array"">
            <possible_value>
                <value>1</value>
                <label>1</label>
            </possible_value>
            <possible_value>
                <value>2</value>
                <label>2</label>
            </possible_value>
            <possible_value>
                <value>3</value>
                <label>3</label>
            </possible_value>
            <possible_value>
                <value>4</value>
                <label>4</label>
            </possible_value>
            <possible_value>
                <value>5</value>
                <label>5</label>
            </possible_value>
            <possible_value>
                <value>5</value>
                <label>5</label>
            </possible_value>
            <possible_value>
                <value>6</value>
                <label>6</label>
            </possible_value>
        </possible_values>
        <trackers type=""array""></trackers>
        <roles type=""array""></roles>
</pre>"
35122,solar calendar,Abbas Samgani,Closed,Is duplicate of #12889,"Hi dears
I have been following the solar calendar for Redmine for a long time, but I didn't find any results,
People who have done this before are from older versions of Redmine.
Is it possible to create a plugin in this regard?"
35063,Set values for reminder,Ilya Kabirov,Closed,Is duplicate of #28638,Is it possible to include in reminder settings such feature as selection of necessary status for issue? In my case I need to exclude the resolved issues from reminder as it done for the closed issues.
35032,Get allowed Issue statuses by Issues API,Yuichi HARADA,Closed,Is duplicate of #24976,"If you want to edit issues using API, you need to know the issue statuses that you can available."
34912,Save ticket by pressing keyboard key,Marco Shima,Closed,Is duplicate of #29473,"From other systems like Mediawiki I know the feature that pressing ALT+S saves all changes. Unfortunately the more obvious CTRL+S is used by the browser itself. It would be very helpful to have the same in Redmine as an abreviation for scrolling down and pressing the button ""Anlegen"" (German version, Englisch ""Create""?)."
34881,Activity page block,Süleyman Enderbey,Closed,Is duplicate of #2585,"Hi all, 

I want to prevent users other than the administrator account from seeing the activity section? how can I do it?

regards..."
34845,Configuration of display of subtickets,Marco Shima,Closed,Is duplicate of #11969,"We use grouping of tickets a lot for semantic organization. That means that we have kind of group tickets that contain subtickets (e.g. a bug is a subticket of the feature group ticket it affects). The list of subtickets displayed may be quite large, scrolling is needed. Because of that we would like to get the possibility to configure the columns of the subticket listing.

Easy:
- Same columns as configured as default for ticket searches

Luxury:
- Configuration per project or even per ticket."
34793,Filter OR / AND for issues and repeated columns in filter settings,Micael Broun,Closed,Is duplicate of #4939,"1. For what:
I can't do filter now about ""this version or that version"", ""this dates or that dates"", ""this version and status or that version and status""

2. What need to do:
In filter for task add:
* 2.1. Ability to use column many times
* 2.2. Blocks AND / OR

PS Cool, if i could filter tags with this logic"
34566,Always trim title,Michael Aram,Closed,Is duplicate of #9588,"Currently, it is possible to re-title an issue from ""myissue"" to ""myissue "". This is reflected/shown in the history as well. In practice, it makes no sense to allow leading and trailing whitespace in ticket titles. Therefore, I recommend to always trim the title field (and probably other fields as well) upon input, so that it doesnt even make it into the database."
34062,Upgrade Rails to 5.2.4.5,Daniel Müller,Closed,Is duplicate of #33906,"CVE-2020-8165 (https://nvd.nist.gov/vuln/detail/CVE-2020-8165)

It would be very helpful if Redmine would work with the latest versions of Ruby and Rails. My server has been shut down for testing, since older versions are in use."
33835,Redmine links: Issues: add link for subject,Charles Atkinson,Closed,"","Using examples from https://www.redmine.org/projects/redmine/wiki/RedmineTextFormattingTextile, please consider adding to ...
<pre>
#124
#124-6
#124#note-6
</pre>... a new link format which would also display the current subject of the issue, say 
<pre>
#124:
#124-6:
#124#note-6:
</pre>This feature would allow the user to know the subject of an issue link without having to open the link.
 
Versions
<pre>
root:~# aptitude show postgresql-9.6 | grep Version
Version: 9.6.17-0+deb9u1
root:/usr/share/redmine# ruby bin/about

sh: 1: svn: not found
sh: 1: darcs: not found
sh: 1: hg: not found
sh: 1: cvs: not found
sh: 1: bzr: not found
Environment:
  Redmine version                3.3.1.stable
  Ruby version                   2.3.3-p222 (2016-11-21) [x86_64-linux-gnu]
  Rails version                  4.2.7.1
  Environment                    production
  Database adapter               PostgreSQL
SCM:
  Git                            2.11.0
  Filesystem                     
Redmine plugins:
  redmine_category_watchers      0.0.1
  redmine_close_button           0.0.8
  redmine_emojibutton            0.4.1
</pre>"
33791,"""First Name"" and ""Last Name"" as mandatory fields?",bike punk,Closed,Is duplicate of #29757,"Is there a reason to have the ""First Name"" and ""Last Name"" as mandatory fields for registration ?
IMHO is quite privacy unfriendly
such personal information is not necessary to contribute to a project

Would be nice to make these fields not mandatory by default."
33672,Project Responsible Field,Jean B,Closed,Is duplicate of #11294,"Hello,

I'll try to explain the feature with my real life example. 
One day person came and asked me to create a project for him, so I duplicated a template for him and all fine. The problem is: now when I click in ""My Page"", it shows to me the issues related to that project which I don't care and I also used to receive e-mails from it (not sure if the e-mail is still being sent after Redmine 4).
So, what I imagine, is a simple way on the settings of selecting another person to be the responsible one, maybe a checkbox similar to adding member to a project. I imagine that this information is stored somewhere.

Thanks!
BR,
Jean"
33612,Expose repository version via REST API,Tom Quern,Closed,Is duplicate of #5901,"For Redmine clients interacting with different versions of the Redmine server it would be beneficial to have an easy way to identify the server version. Currently this information is available in the web UI: <your-host>/admin/info and can be scrapped from the page (e.g. with Jsoup), but it's a hack. Having a REST endpoint with that information exposed would be great.

Or is there a more convenient workaround than the one mentioned above?"
33526,Add possibility to configure limit used to retrieve objects for an API response,VVD VVD,Closed,Is duplicate of #16069,"In file app/controllers/application_controller.rb:
<pre>
  # Returns offset and limit used to retrieve objects
  # for an API response based on offset, limit and page parameters
  def api_offset_and_limit(options=params)
    if options[:offset].present?
      offset = options[:offset].to_i
      if offset < 0
        offset = 0
      end
    end
    limit = options[:limit].to_i
    if limit < 1
      limit = 25
    elsif limit > 100
      limit = 100
    end
    if offset.nil? && options[:page].present?
      offset = (options[:page].to_i - 1) * limit
      offset = 0 if offset < 0
    end
    offset ||= 0
    [offset, limit]
  end
</pre>
The value of the limit is hardcoded to 100.
It's very long to get for example 20000 objects - 200 requests in ~3 minutes. But it's faster with hardcoded limit 10000 - ~20 seconds only.

Please, add possibility to configure limit used to retrieve objects for an API response.

Thanks!"
33479,Make other destinations visible in the Redmine notification email,Yuuki NARA,Closed,Is duplicate of #30787,"Make other destinations visible in the Redmine notification email

h1. Proposal

In Redmine4.0, other destinations are no longer displayed in the notification email.

This is a side effect of the following changes in Redmine 4.0.
https://redmine.org/issues/26791

Depending on the contents of the ticket, it may be necessary to confirm who is notified.
For example, the response may change depending on whether the trouble ticket content is delivered to the CEO.

In Redmine3.4, it was found from the To / Cc column of the notification email that the email was sent to someone else.
In Redmine 4.0 or later, you can not understand without checking the ticket.

Also, the amount sent to the person who has been set to ""notify all"" in the personal settings cannot be confirmed on the ticket.

h1. Solution

There is no problem in sending individual emails.
The only inconvenience is that you can no longer check the simultaneous notification destination directly from the email.

It seems that the conventional To / Cc (watch) can be added to the beginning of the email text by setting the individual ID unit.

h1. Supplement

In Redmine3.X, there was a side effect that other destinations could be known by batch mailing. (Specification changed in 4.0)
It seems that it was not recognized that there were cases where this was used as a substantial function.
(In some cases, it may be necessary to respond depending on the email notification destination)

You can tell by checking the ticket from the link on the notification email, but it will be a burden if there are many cases.

/* The following is a Japanese supplement */

Redmineの通知メールで、他の宛先を表示可能にする

■提案内容

Redmine4.0にて、通知メールで他の宛先が表示されなくなった。

これはRedmine4.0の下記変更による副作用である。
https://redmine.org/issues/26791

チケットの内容によっては、他の誰に通知されているか確認必要な場合もある。
例えば、トラブルのチケット内容がCEOに配信されているかどうかで、対応が変わる場合もある。

Redmine3.4の時は、通知メールのTo/Cc欄から、他の誰に送信されたか判ったが、
Redmine4.0以降ではチケットを確認しないと判らない。

また、個人設定で「すべて通知」にしている人への送信分は、チケット上から確認できない。

■解決策
メールの個別送信自体には問題ない。
同時通知先をメールから直接確認できなくなったのが不便なだけ。

個人ID単位の設定により、従来のTo/Cc(watch) をメールテキスト先頭に付けられれば良いと思われる。

■補足
Redmine3.Xでは、メール一括送信により他の送信先が判るという副作用があった。（4.0で仕様変更）
これを実質的な機能として利用している場合があったことが、認識されていなかったと思われる。
（メール通知先により対応必要なケースもある）

通知メール上のリンクからチケットを確認すれば判るが、件数が多ければ負担になる。

本チケットの対応は下記に記載します
https://redmine.tokyo/issues/1083
"
33330,Import of issue relations when imported from csv,Aleksandar Pavic,Closed,Is duplicate of #28198,"There is no ability to import Issue relations when importing from csv.

Perhaps they can be delimited in different way to fit in one field, or provided in json form inside csv field. "
33288,Add wiki bar to Time_Log,Ali Hamdan,Closed,Is duplicate of #33256,Is it possible to add a wiki bar into custom_fields created onto the timelog form
33286,"Multiple search terms in ""Subject"" filter",Hirofumi Kadoya,Closed,Is duplicate of #35764,"at custom query
I can select single in subject 
I can select multiple in issue 

I'd like to select mulutiple likely issue

ーーJa　startーー
カスタムクエリーの題名において
含む、および含まないの条件にも
カンマを入れた場合、アンド条件としてほしい

チケットと同じようにお願いします
ーーJa　endーー"
32757,Show warning when an issue cannot be closed because of blocking issue relations,Mischa The Evil,Closed,Is duplicate of #31589,"Same as/inspired by #31589, but for the case that issues cannot be closed as a result of blocking issues."
32520,Issues activity gnats calendar tabs - too much real estate in high hand panel,Donald Martin,Closed,"Related to #30294, Related to #32037, Related to #21808","Hi

Just a thought - the right hand panel in the views mentioned above are given far too much real estate for the data they contains.

For example when I'm in the Issues view 1/3 of the screen is given to the right hand panel yet it only contains 3 small links and the rest of the panel is unused and coloured grey.

Better sizing can make better use of this portion of the window.

I've attached a screen grab to give as an example.

I use a MAC and it's the same in Safari and FF.

I've tried it with a vanilla Turnkey Hub VM and that's how it is out of the box."
32501,"The English version of ""Help"" content is displayed on the page after clicking the ""Помощь"" button",vitali-test storchous-test,Closed,Is duplicate of #654,"Preconditions: The localization of the site must be ""Russian""

1. Open the site http://www.redmine.org/ and log in
2. Click the ""Помощь""
3. Pay attention to the page

Actual result: The English version of ""Help"" content is displayed on the page after clicking the ""Помощь"" button
Expected result: The Russian version of ""Help"" content is displayed on the page after clicking the ""Помощь"" button"
32496,bulk edit issue by import CSV,Taine Woo,Closed,Is duplicate of #23448,"We can import CSV to batch creating new issues.
But if we provided the Issue#id in the CSV, also some other columns which need to be updated, we should be able to update the existing issues, but not to creating new issues."
32493,Add capability to make an attachment\s obsolete and to collapse all obsolete attachments and focus only the necessary ones (like bugzilla),pasquale [:dedalus],Closed,Is duplicate of #1984,"When a ticket has a lot of screenshot and\or patches, it's very comfortable to be able to makes attachments no longer necessary as obsolete. In this manner we can collapse all obsolete attachments and focus only the necessary ones.

The proposed feature is already present in bugzilla (see attachment:bugzilla.png)"
32491,Watcher can see tickets independent from issue visibility,Martina A.,Closed,Is duplicate of #23546,"Hello Redmine Team,

we would need the following configuration option: 
In our projects, our members have the issue visibility ""Issues created by or assigned to the user"".
This is set by default, due to GDPR and internal reasons.

For some cases, we would need to allow watchers to see the issue and also be informed via E-Mail about changes. But with above issue visibility this is not possible. We can add watchers, but of course, they do not see the issue.

In contrast, setting the issue visibility to ""All non private issues"" would allow them to see too much tickets.

So a combination would be great: general setting for visibility is ""Issues created by or assigned to the user"" but with the exceptional case, if a person is assigned as watcher.
It should be possible, that the watcher can see those issues, he has been added to.

Thanks in advance."
32406,[ISSUE RELATIONS] Add several relations at a time,César DJ Caësar 9114,Closed,Is duplicate of #29272,"For the moment the relations can be added one by one.
It could be great to add a group of relations, sending an array of relations, for example."
32321,Issue filter: new filter: Author's Group,Taine Woo,Closed,Is duplicate of #7867,"There is a filter as ""Asignee's Group"", and it would be better to have filter ""Author's Group""."
32291,Need some patch to enable emails queue,Ilya Kabirov,Closed,Is duplicate of #26791,"I'm using redmine on Windows platform (Bitnami), smtp is set on gmail. In case I'm creating a new, the email about it trying to send for more than 50 recipients, so I'm getting an error 452 4.5.3 - too many recipients. Is it possible to develop some patch to make the queue of emails, sending one by one and not by all pack in time? Many thanks!"
32140,Document MySQL database migration to utf8mb8,Sylvain Faivre,Closed,"","Feature #31921 included in 4.1.0 sets utf8mb4 as default encoding for new MySQL databases setups.

In the description, Marius BALTEANU added :
> I'll try to create later a Wiki page regarding the steps required to migrate and existing installation or at least some useful links.

There is no documentation explaining how to migrate yet.

#21398 includes a migration script, but people in that thread reported failures with the script."
32090,REST API: users: add support for status=*,Martin von Wittich,Closed,Is duplicate of #40099,"Currently, [[Rest Users|the /users.:format REST API]] will default to status=1 (active), that is, when you attempt to search for a certain user (@redmine-admin.auth@ contains an API token of an administrator in the format @-u TOKEN:x@):

<pre>
curl -H 'Content-Type: application/json' \
  -G -K redmine-admin.auth \
  'https://redmine.example.com/users.json?name=firstname.lastname'
</pre>

it will only return the requested account when the account is active. This means that I have to make two request for @status=1@ and @status=3@ to find a user when I don't know if the account is locked or not :(
	
I would have suspected that @status=*@ would return all kinds of users, similarly to how it works for [[Rest Issues]] with @status_id=*@, but this is apparently not the case."
31984,Permission to add timelogs in past,Aleksandar Pavic,Closed,Is duplicate of #13244,"There is permission to edit time logs, 

But, what's missing is +forbid to add time log for date in past+.

There are many use-cases where employees log time on daily basis, but should not 
be able to log time retro-actively.

Even if they don't have edit timelog permission, they can still log
time for days in past, which should be good to forbid.

"
31714,Allow to add custom fields of type date to calendar view,Maxim Krušina,Closed,"Related to #27095, Related to #10267","On the calendar view, there are visible start and due dates. We have more custom fields of date tye, like a deadline (it's the deadline to deliver an issue to the customer, it's not Due date, which is for our team). I need to render those values in the project's calendar view.

Thanx-a-lotta!"
31638,Issue start date date type changed to date time.,Jim McAleer,Closed,Related to #5458,For tightly scheduled tasks the issue start date needs to be a datetime field.  With that the related links precedes and follows we need a value the and option for minutes or days.  I can't believe others haven't asked for this.  Sorry if it duplicates other requests.
31618,make version description field rich,Joe D,Closed,Is duplicate of #1680,it would be great if we could have a formatted description field on Version's such that #issue get linked and other useful information can be more easily shown
31518,Default due date for issues,Go MAEDA,Closed,Is duplicate of #13296,"It would be nice if we can configure Redmine to set a default due date for issues (N days from today).

Due date is important in Redmine. Issues without a due date are not notified by email reminders and sometimes forgotten by users. I am sure that this feature is simple but helpful for users."
31377,"Updating project status, or archiving with REST","Jonas Ineveld, van",Closed,Is duplicate of #13725,"Hi Redminers,

I've searched and checked google, the forums and documentation, but cannot find any way to close projects while using the REST api.
Our redmine instance is synced with another platform, and is updated using the REST api. But now projects are closing in the other platform and stay open in redmine. This is resolving in quite some clutter at the moment.

I would like to do a patch request with status=0 for example.

Is this a bug, existing but undocumented or a new feature?

Thanks a lot in advance!

( if it's currently not possible, could someone help me creating a patch for this? )

- Jonas
"
31340,Allow restrict auto create accounts for sender domains by list,Manuel Bernhardt,Closed,Is duplicate of #14341,"It would be nice, if there would be a option(s) which restrict auto create accounts for new users only to specific sender domains."
31338,Add option for append mail header to ticket,Manuel Bernhardt,Closed,Is duplicate of #21158,"Currently, if a user isn't registered at redmine and you allow to receive mails from unknown users, a ticket will created assigned to no one.
Its okay, but somehow it should possible to find out, who has send that mail. I suggest, add the header of the mail to the ticket so the sender mail address and name if exists is available."
31321,Option not to block closing a parent issue when its subtask is open,Hinako Tajima,Closed,"Related to #31322, Related to #10989, Is duplicate of #28492","From Redmine 3.4, the parent issue can't be able to close when the subtask is not closed yet. If it is possible to control turn on/off by configuration or management console, it would make easier to manage the issue closing process.

Redmine 3.4から、子チケットがまだクローズされていない場合、親チケットはクローズすることができません。 コンフィグまたは管理画面で、オン/オフを制御することが可能であれば、チケットクローズのプロセス管理が容易になると考えます。"
31234,Redmine assign a issue to more than one user,Gary Ge,Closed,Is duplicate of #408,"h3. How to assign a issue to more than one user by checking the checkbox of any user I want?

Is there any way to make it?

Thanks a lot."
31112,Update to Rails 5.2.3,Go MAEDA,Closed,Is duplicate of #31113,"Rails 5.2.3 has been released on March 28, 2019.
https://weblog.rubyonrails.org/2019/3/28/Rails-5-2-3-has-been-released/"
30460,This project is closed and read-only so please hidden all issue on mypage,gralias gralias,Closed,Is duplicate of #29449,"When a project was closed and read-only, all my issues assigned to me still display on my page (Issues assigned to me). I think that not necessary for this case"
30419,Drop support for MySQL 5.5,Marius BĂLTEANU,Closed,Related to #39579,"Support for MySQL 5.5 ended in December 2018:

Resources:
- https://en.wikipedia.org/wiki/MySQL#Milestones
- https://www.fromdual.com/support-for-mysql-from-oracle

There are no changes in the code from what I've found, I think that we should just update the wiki and add this ticket to the Changelog. 

I propose to drop support in version:""4.1.0""."
30336,"""Log Time"" feature controlled per Tracker",James H,Closed,Is duplicate of #29490,"Currently, I can enable or disable ""Log Time"" per Role.
I would like this to be a per-tracker setting to allow for more control."
29992,Add permissions to read all projects. ,Yar n,Closed,Is duplicate of #15835,"Now, only administrators can see list of all projects and sub-projects.

But, it is needed to allow some people (or even group) who should see all this projects. 
Why? to prevent chaos with adding new ones, for better understanding what is going on here.

Currently i have to add Admin privileges for these users... which is not correct, cause they can edit system settings. "
