id,subject,author,status,related issues,description
39500,"Change the default notification option for users to ""Only for things I watch or I am assigned to""",Go MAEDA,Closed,Is duplicate of #38343,"Currently, the default notification option for a new user is *""Only for things I watch or I'm involved in""* (internal_name: only_my_events) . This sends notifications when any of the following conditions are met.

* The issue/object is *watched* by the user
* The issue is *created* by the user
* The issue is *assigned* to the user

I think the default option should now be *""Only for things I watch or I am assigned to""* (internal name: only_assigned) which sends notifications when any of the following conditions are met.

* The issue/object is *watched* by the user
* The issue is *assigned* to the user

This is because Redmine 5.1.0 has an auto watch for newly created issues (#38238) and the option is enabled by default for newly created users, and the behavior of the combination of auto watch and only_my_events is somewhat confusing.

Consider the following scenario:

# Admin creates a new user. The user has all auto watches enabled by default, and the email notification option is set to only_my_events
# The user creates an issue. Since all auto watches are enabled for the user, they are added as a watcher
# The user receives notifications about the issue
# The user decides they do not want to receive notifications anymore and unwatches the issue
# But the user still receives notifications because the notification option is only_my_events, and they are the author of the issue

If the default notification option is changed from only_my_events to only_assigned, this confusion will be eliminated. Here is a scenario in this case:

# Admin creates a new user. The user has all auto watches enabled by default, and the email notification option is set to only_assigned
# The user creates an issue. Since all auto watches are enabled for the user, they are added as a watcher
# The user receives notifications about the issue
# The user decides they do not want to receive notifications anymore and unwatches the issue
# The user does not receive notifications anymore because the notification option is only_assigned, and they are no longer a watcher

As illustrated above, in Redmine 5.1, the behavior is more understandable if the notification option defaults to only_assigned."
17689,De-List or cleraly mark commercial plugins,Jan Niggemann (redmine.org team member),New,"Is duplicate of #18664, Is duplicate of #19882, Is duplicate of #38255","I keep getting complaints by mail about easyredmine non-free plugins in our directory and there are similar complaints on the forums (message#37931).

The issues at hand are with plugnis that
* are not free (as in beer)
* are not free (as in freedom)
* just don't work with vanilla redmine and only work in some kind of fork

There are entries in our plugin index that are nothing more than free advertising space for companies, including but not limited to

* http://www.redmine.org/plugins/redmine_luxury_buttons (*paid*)
* http://www.redmine.org/plugins/redmine_kpi (*paid*)
* virtually _all_ plugins by Petr Pospisil / EasyRedmine (example: http://www.redmine.org/plugins/virtuemart-integration) (*paid*, *incompatible*)

I'd like a statement from the team regarding these proposals:
* Remove all plugins that only work in some kind of fork
* Mark all commercial plugins with a very, very big ""$"" sign - or remove them from the index

-- jan

PS: In contrast to those commercial-only plugins are those like this one by Kirill Bezrukov:
http://www.redmine.org/plugins/redmine_agile

It's a paid plugin, but a ""light"" version available, IMHO that's the way to and those should explicitly _not_ be removed.
"
13670,Configure display of completed versions by default,Andrea Catera,New,Is duplicate of #37717,"is there any method to show completed version in roadmap by default ?
"
33325,Export spent time report as PDF,Ali Hamdan,Resolved,,Is it possible to have a patch that will add the ability of exporting the spent time report as PDF including the custom fields
8095,Allow overriding the default text formatting in each project,Ebrahim Mohammadi,New,"Is duplicate of #5995, Is duplicate of #5624, Is duplicate of #12095, Is duplicate of #19112, Is duplicate of #19591, Is duplicate of #37365","It would be good to let the text formatting be selected per project, rather than only a global default. It would be useful for bigger installations that have more diverse set of users."
12889,Persian Solar Calendar is needed,iransamin.ir sabasa,New,"Is duplicate of #7711, Is duplicate of #21935, Is duplicate of #35122, Is duplicate of #37133","Hi,
There is a lack of Persian Solar Calendar (Hejri Shamsi or هجری شمسی). 
This calendar as the most accurate calendar in the world (http://en.wikipedia.org/wiki/Iranian_calendars) is used by more than 100 milion people and is really lacked here in this greate bug tracking software i.e. Redmine.
Thanks"
36182,Show notifications for all Redmine users,Mizuki ISHIKAWA,New,Is duplicate of #36942,"This patch adds the feature to display text throughout the site once it has been set in Settings > Administration.

!{width: 500px; border: 1px solid #ccc}screenshot-2021-11-11-10.41.31.png!
!{width: 500px; border: 1px solid #ccc}screenshot-2021-11-11-10.41.49.png!

There is already a famous plugin called Redmine banner that is used by many people. https://www.redmine.org/plugins/redmine_banner
This patch only provides very simple functionality, so I think you will need the Redmine banner plugin to change the notification destination and design."
22483,Show PDF attachments and repo entries instead of downloading them,Gregor Schmidt,Needs feedback,"Is duplicate of #22098, Is duplicate of #36504","Following up on #22058, I would like to propose, that also PDF files are shown directly instead of forcing downloads.

This applies to two use cases:

h3. 1. Following a download link

When following a download link, image are sent with @content-disposition: inline@, while all other files are sent with @attachment@. Since the some browsers is able to render PDF files directly (Firefox, Chrome, Safari, IE with Adobe Reader installed) and people are probably used to it, I think that extending this exception to PDF files is a reasonable change. If native PDF rendering within the browser is not supported, then a download will be initiated by the browser anyway.

h3. 2. Displaying a PDF file in repository browser

When accessing ""View"" within the file view in the repository browsers, Redmine currently forces a download of the PDF. Instead an iframe could be rendered which displays the PDF within the Redmine UI. Browser support for this use case is similar to No. 1.


-------

The patch series is based on current trunk (r15332) plus the changes of #22482. If desired, I could isolate the changes further, to make them work without #22482.

h3. @0004-Don-t-force-download-of-PDFs-but-show-in-browser-pre.patch@

The change updates @AttachmentsController@ and @RepositoryController@ to send PDF files with @content-disposition: inline@. (See first use case.)

h3. @0005-Show-pdf-preview-for-repository-files-and-attachment.patch@

The change adds @attachments/pdf@ and @common/_pdf@ views to render PDF files in an iframe/object construct. (See second use case.)

Since we cannot easily know the PDF’s dimensions, the frame size follows the following rules:

* it is as wide as possible (100%)
* in general it is as high as it is wide
* it is never higher than 80 % of the viewport (80vh), since we want to make sure, that there is always a bit of Redmine UI visible to avoid getting “trapped” within the frame

Using a nested object/iframe structure was taken from http://pdfobject.com/static.html"
25808,Allow import issues and time entries on multiple projects (map Project field to a column from CSV),Jack Black,New,Is duplicate of #36246,"When I use Import menu to create new issues, I found I could't import all issue in different project all same time.
I had to import one project at once, that feel not convenience.
So I wish redmine can support Project Feild dynamic mapping via csv file."
7360,"Issue custom query: default query per instance, project and user",Mike Kokhanov,Closed,"Is duplicate of #7999, Is duplicate of #12689, Is duplicate of #7244, Is duplicate of #16102, Is duplicate of #2829, Is duplicate of #7993, Is duplicate of #9279, Is duplicate of #22156, Is duplicate of #16249, Is duplicate of #15566, Is duplicate of #27128, Is duplicate of #36198, Is duplicate of #39041","It would be nice to be able to create a default custom query, so when I get to issue list of a project, I don't need to select my preferable custom query from the list."
34857,"Add total estimated hours, spent hours, total spent hours for issues to issue list API",Felix Schäfer,Closed,"Is duplicate of #18943, Is duplicate of #5303, Is duplicate of #35989","The issue index API currently does not return total estimated hours, spent hours and total spent hours, although the issue show API does show those fields."
37237,Common Markdown Formatter does not render all properties on HTML elements,C S,Closed,Is duplicate of #37237,"Input:
<pre>
<table align=""center"" border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%; text-align:center; border-collapse:separate; border-spacing: 10px; display:table"">
   <tr>
      <td class=""InfoButton"">Some Text</td>
   </tr>
</table>
</pre>

Output:
<pre>
<table align=""center"" border=""0"" cellpadding=""1"" cellspacing=""1"">
   <tr>
      <td>Some Text</td>
   </tr>
</table>
</pre>"
32116,Add configured theme to Redmine::Info,Aleksandar Pavic,Closed,Is duplicate of #35686,"*Administration | Information* 

Displays various info about system, but doesn't display which theme is currently being used.


<pre>
Environment:
  Redmine version                3.4.10.stable
  Ruby version                   2.3.3-p222 (2016-11-21) [x86_64-linux]
  Rails version                  4.2.11.1
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.9.3
  Git                            2.7.4
  Filesystem                     
Redmine plugins:
</pre> 

It is important to know which theme is used, because there is many themes available on internet, 
and some themes don't show everything, or have bugs."
2568,Description for issue statuses,Thomas Woelfle,Closed,"Is duplicate of #12002, Is duplicate of #35509","We have the problem that users are not always sure what the semantic of a certain status is and what status they should set for a ticket when updating it.

Therefore it would be nice to be able to add a documentation to issue statuses, especially when introducing custom statuses. The documentation could then be presented to the user as a tooltip when selecting a status for a ticket."
9664,"CRUD operations for ""custom field definitions"" (not setting custom fields on issues!)",Alex Last,New,"Is duplicate of #18848, Is duplicate of #35216","my Redmine Java API tests check that a new Issue has some custom fields set.
to do that, I have to create those custom field definitions in Redmine manually first.

would be nice to improve the tests so that they could create the required custom fields in Redmine - but unfortunately Redmine's REST API does not allow that.
Again, I'm talking about creating custom fields *definitions* in Redmine install, not setting already defined custom fields on an Issue.

I understand that this operation would probably require an admin permission - that's fine."
12889,Persian Solar Calendar is needed,iransamin.ir sabasa,New,"Is duplicate of #7711, Is duplicate of #21935, Is duplicate of #35122, Is duplicate of #37133","Hi,
There is a lack of Persian Solar Calendar (Hejri Shamsi or هجری شمسی). 
This calendar as the most accurate calendar in the world (http://en.wikipedia.org/wiki/Iranian_calendars) is used by more than 100 milion people and is really lacked here in this greate bug tracking software i.e. Redmine.
Thanks"
28638,Filter by issue statuses on reminder task,Davide Giacometti,New,Is duplicate of #35063,"I need an issue statuses filter on reminder task in order to send the notification only for specific issue statuses.

The attached patches provide the option statuses that accept a comma separated list of issue_statuses ids (defaults to all issue_statuses).
usage example:

<pre>
bundle exec rake redmine:send_reminders statuses='1,2' RAILS_ENV='development' 
</pre>

I ask for a review of the patches and their implementation in Redmine code."
24976,Include new statuses allowed by workflow in Issues REST API,Stephan Möllgaard,Closed,"Is duplicate of #35032, Is duplicate of #10636, Is duplicate of #33965","Redmine API provide no possibility to get informations about workflows. This feature is important to get informations about next allowed status for issues. 

There a lot of posts from people which need this feature. 

Please plan to implement this enhancement for the Redmine API - thank you!"
29473,Submit a form with Ctrl+Enter / Command+Return,Kamil .,Closed,Is duplicate of #34912,"While editing issue, Ctrl+Enter should invoke ""Submit""
While creating new issue Ctrl+Enter should invoke ""Create"""
2585,"Add Modules to hide/display Overview, Activity, Roadmap",Ben Blanco,New,"Is duplicate of #9930, Is duplicate of #4955, Is duplicate of #34881","When opening Projects to clients, in some cases one may not want to display Activity or Overview. The Project Settings' Modules covers most of a Project's tabs, but not:

* Overview
* Activity
* Roadmap

Could tick boxes be added here, so that Admins can 100% customize the look & feel of each project according to its requirements (confidentiality, etc..)."
11969,Subtask display fields,Jim McAleer,New,Is duplicate of #34845,"I would like to have the option to display certain fields in the Issue hierarchy panel.  It makes it really clear if a estimate of time is not in the total time and would need to be added.

Like estimated time, start date, and end date.  This should be an overall configuration in settings with just a simple check box next to the field names.

So instead of
|\6.Issue hierarchy (Add a subtask) |
|Bug|#400:|\4.Parent Issue|
|>New|Bug|#401:|Child Issue 1|New|&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|
|>New|Bug|#402:|Child Issue 2|New||
|>New|Bug|#403:|Child Issue 3|New||
|>New|Bug|#404:|Child Issue 4|New||
|>New|Bug|#404:|Child Issue 5|New||
|>New|Bug|#404:|Child Issue 6|New||

You would see
|\8.Issue hierarchy (Add a subtask) |
|Bug|#400:|\2.Parent Issue|Start Date:|Est Hrs:|Status|Pct Complete|
|>New|Bug|#401:|Child Issue 1|>.1/1/2012|>.6.0|New|&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|
|>New|Bug|#402:|Child Issue 2|>.1/1/2012|>.1.0 |New||
|>New|Bug|#403:|Child Issue 3|>.1/2/2012|>.12.0|New||
|>New|Bug|#404:|Child Issue 4|>.1/3/2012|>.4.0|New||
|>New|Bug|#404:|Child Issue 5|>.1/3/2012||New||
|>New|Bug|#404:|Child Issue 6|>.1/3/2012|>.4.0|New||"
4939,List of tasks filtered as OR and not AND,Alain V.,New,"Is duplicate of #7641, Is duplicate of #12970, Is duplicate of #6332, Is duplicate of #10421, Is duplicate of #21532, Is duplicate of #23211, Is duplicate of #23216, Is duplicate of #34793, Is duplicate of #13356","Hello

Up to now in the list of task you can filter upon some values but the list of filters are 
List of tasks that has
filter1=value1 AND filter2=value2 AND filter3=value3

I think it could be interesting to have the possibility of
List of tasks that has
filter1=value1 OR filter2=value2 OR  filter3=value3

Do you think it is possible? thank you"
9588,Text fields used for data entry should trim whitespace.,Dave Carlton,New,Is duplicate of #34566,"For example, in the password recovery field for email address, if the address was copied and pasted with leading or trailing whitespace it should be trimmed off before use. Trying to send email to ` joe@blow.com ' will fail miserably without the user knowing."
33906,Upgrade Rails to 5.2.4.5,Mischa The Evil,Closed,Is duplicate of #34062,"As released on May 18, 2020 with the following ""announcement"":https://weblog.rubyonrails.org/2020/5/18/Rails-5-2-4-3-and-6-0-3-1-have-been-released/:
> Hi everyone! Rails 5.2.4.3 and 6.0.3.1 have been released! These releases contain important security fixes, so please upgrade when you can.
> 
> Both releases contain the following fixes:
> 
> [CVE-2020-8162] Circumvention of file size limits in ActiveStorage
> [CVE-2020-8164] Possible Strong Parameters Bypass in ActionPack
> [CVE-2020-8165] Potentially unintended unmarshalling of user-provided objects in MemCacheStore and RedisCacheStore
> [CVE-2020-8166] Ability to forge per-form CSRF tokens given a global CSRF token
> [CVE-2020-8167] CSRF Vulnerability in rails-ujs

Note: the fix for CVE-2020-8167 might also result in a requirement to manually update the bundled @rails-ujs@ code.

I'll set this issue to _private_ given the possible implications."
29757,"Make ""First name"" and ""Last name"" optional (not required) in user's settings",crypto gopher,New,Is duplicate of #33791,"Reasoning:
* in some Redmine installations first and last name may not be required as people might not know each other in person. *Login by itself may be enough to fulfill the need for identification* (see Github, Twitter and so on). This is especially true for open source projects communities.
* some people may not like to be *forced to resign from their privacy*. When user is forced to provide data he does not want to, he will probably provide fake data. Value of fake data is not greater that that of no data. This is related to #28106.
* there is already option in Redmine to set *user display format to login only* (instead of first/last name).
* some jurisdictions may require sites that *gather personal data to comply with specific laws*. Again if Redmine is used by open source project communities it may place an unnecessary burden on site administrators.
* some communities largely make *use of only one name* and requiring 2 names is requiring impossible. Related: #1595

I propose to either:
# Make first and last name optional
or
# Add administrative setting to control whether first and last names are optional or required."
11294,Option to choose the Issues owner on copy project ,Fernando Hartmann,New,Is duplicate of #33672,"We use some projects like a template to start new client project.
With this idea, to start a new project we just copy one of the templates (generic project for the work to do on the client) with the correct name and start to customize this new project.
The problem is the owner of the issues, until Redmine 1.3 the owner of the issues of the template was copied to the new project, since 1.4 the owner is the one who copied the project.
This two options have their problems.
My suggestion is to have a combo in the copy project window , that the user can choose who will be the owner of the issues and etc... of the new project."
5901,REST API to expose the Redmine version,Eric Davis,New,"Is duplicate of #8145, Is duplicate of #33612","After reading Alexey Skor's forum post about the ""API versions"":http://www.redmine.org/boards/4/topics/15631, I think it would make 3rd party development easier if Redmine had a REST API method to find out what version of Redmine the server is running.

That way a client can check to see if the server supports the API requests it needs (e.g. 1.0+ has an issues API, 0.9 doesn't).

Thoughts?"
16069,Allow configuration of API limit instead of hardcoding at 100,Domingo Galdos,New,"Is duplicate of #7539, Is duplicate of #25555, Is duplicate of #26553, Is duplicate of #33526","The below tested patch makes the previously harcoded limit of 100 items in a RESTful API response configurable in the Administration GUI. The default value is still 100. This is based on 2.4.1.stable.

This is quite useful since it is nice and simple to just get the full response in a single page rather than having to traverse pagination, and a limit of a bit more than 100 is still very performant for many sites -- the limit beyond which performance starts to degrade really depends on the particular site's usage, so should be controllable by the local administrator.

<pre><code class=""diff"">
Index: app/controllers/application_controller.rb
===================================================================
--- app/controllers/application_controller.rb       (.../trunk/app) (revision 13385)
+++ app/controllers/application_controller.rb       (.../branches/code-8112/app)    (revision 13389)
@@ -519,8 +519,8 @@
     limit = options[:limit].to_i
     if limit < 1
       limit = 25
-    elsif limit > 100
-      limit = 100
+    elsif limit > Setting.api_limit.to_i
+      limit = Setting.api_limit.to_i
     end
     if offset.nil? && options[:page].present?
       offset = (options[:page].to_i - 1) * limit
Index: app/views/settings/_general.html.erb
===================================================================
--- app/views/settings/_general.html.erb    (.../trunk/app) (revision 13385)
+++ app/views/settings/_general.html.erb    (.../branches/code-8112/app)    (revision 13389)
@@ -24,6 +24,8 @@
 
 <p><%= setting_select :wiki_compression, [['Gzip', 'gzip']], :blank => :label_none %></p>
 
+<p><%= setting_text_field :api_limit, :size => 6 %></p>
+
 <p><%= setting_text_field :feeds_limit, :size => 6 %></p>
 
 <p><%= setting_text_field :file_max_size_displayed, :size => 6 %> <%= l(:""number.human.storage_units.units.kb"") %></p>
Index: config/settings.yml
===================================================================
--- config/settings.yml        (revision 13387)
+++ config/settings.yml        (revision 13389)
@@ -73,6 +73,9 @@
   default: localhost:3000
 protocol:
   default: http
+api_limit:
+  format: int
+  default: 100
 feeds_limit:
   format: int
   default: 15
Index: config/locales/en.yml
===================================================================
--- config/locales/en.yml      (revision 13387)
+++ config/locales/en.yml      (revision 13389)
@@ -352,6 +352,7 @@
   setting_host_name: Host name and path
   setting_text_formatting: Text formatting
   setting_wiki_compression: Wiki history compression
+  setting_api_limit: Maximum number of items returned in a JSON/XML API response
   setting_feeds_limit: Maximum number of items in Atom feeds
   setting_default_projects_public: New projects are public by default
   setting_autofetch_changesets: Fetch commits automatically

</code></pre>"
30787,Other recipients are not listed in To field even if Setting.bcc_recipients is false,Go MAEDA,Closed,"Is duplicate of #30929, Is duplicate of #33479","In Redmine prior to 4.0, you can see to see all recipients of the notification email in the To field if ""Blind carbon copy recipients (bcc)"" setting (@Setting.bcc_recipients@) is false. With this feature, you can know who the notification was sent by the update.

However, this feature is broken in Redmine 4.0. After upgrading to 4.0, only your email address is in the To field and other recipients are not listed there even if Setting.bcc_recipients is false.

Suppose the following issue:

* Assignee is foo@example.com
* Watcher is bar@example.com

When someone updates the issue, foo@example.com and bar@example.com should receive a notification. The To field in the header should be like the following if Setting.bcc_recipients is false:

<pre>
To: foo@example.com, bar@example.com
</pre>

However, in Redmine 4.0, actual To field are like the following. Only the recipient of the message is listed:

(The email that foo@example.com received)
<pre>
To: foo@example.com
</pre>

(The email that bar@example.com received)
<pre>
To: bar@example.com
</pre>

"
28198,Support issue relations when importing issues,Gregor Schmidt,Closed,Is duplicate of #33330,"As promised in #22701, I now would like to propose a patch, which adds handling of issue relations to the CSV importer.

h3. Usage

The attached patch extends the import configuration view with a new block, so that users may select a column for each relation type. The parent issue field also moved to the new block, since it's conceptually related.

Within the CSV file the columns may define multiple relations of the same type, each separated with @,@. Related issues follow the same rules as parent issues. A string preceded with a @#@ is supposed to be an existing issue. Without the @#@ it's supposed to be another row within the import file. For _follows_ and _precedes_ relations an additional delay may be present, e.g. @#12 3d@ specifying a relation to issue @#12@ and a delay of 3 days.

h3. Technical notes

Since issue relations may only be created when the issue was already saved, I've added a second step to the import. Additionally to @build_object@, which needs to be implemented by @Import@ sub classes, there's also a @extend_object@ method now. This is used by the @IssueImporter@ to save the relations after the issue was already saved successfully.


h3. Additional considerations

Initially, I wanted to build the import, so that issue relations exported from Redmine could be imported directly. But the format that's used by the exporter was designed for humans, not so much for computers. Most importantly, to parse this format we would need to grep for the localized relation names, which might even change between versions of Redmine. Therefore I settled for the proposed approach of having separate columns for each relation type."
33256,Show wiki toolbar for spent time custom fields with text formatting enabled,Marius BĂLTEANU,Closed,Is duplicate of #33288,"Before:
!{width:70%; border: 1px solid grey}.before.png!

Using this patch:
!{width:70%; border: 1px solid grey}.after.png!
"
35764,"Multiple search terms in the ""contains"" operator of text filters",Go MAEDA,Closed,Is duplicate of #33286,"I extracted the attached patch from #35073#note-4. The patch posted by ""Jens Krämer"":https://www.redmine.org/users/40856 from Planio allows you to use multiple search terms in ""contains"" operator of text filters. 

> The alternative I am experimenting with right now is breaking up the user's query string into tokens like the global search does, and use these to build a query with multiple LIKE clauses that are combined with AND. I'm attaching a preliminary patch that implements this for the Issue.like scope (used by the autocompleter) and the Query#sql_contains method (which should cover all query filters). Do you think that's a viable approach?

It seems that the patch has already been deployed to the production environment of Planio. See ""Planio filters just got more powerful - Planio Support &#40;english&#41; - Planio Support"":https://support.plan.io/news/200
"
31589,Show warning and the reason when the issue cannot be closed because of open subtasks or blocking open issue(s),Go MAEDA,Closed,Is duplicate of #32757,"You cannot close an issue if it has open subtasks (#10989).

This rule is not obvious and difficult to know for users. In my company, ""why I cannot close this issue?"" is an FAQ. When they come across the behavior, they spend a long time to check workflows. Of course, there is no problem with workflows. It is really hard for ordinary users to find the cause of the behavior.

I think it will be a great help to prevent confusing users if a warning icon with a tooltip is displayed on the edit issue form like the following screenshot.

!{border: 1px solid #ccc; width: 562px;}.warning-unable-to-close-parent@2x.png!"
654,The i18n of the help ,sunday walker,New,Is duplicate of #32501,"This is an example of the i18n of the help.

original http://redmine.rubyforge.org/svn/tags/0.6.3
"
23448,Allow updating existing issues via CSV import when their ID's are the same,Xavier Godon,New,"Is duplicate of #25810, Is duplicate of #28202, Is duplicate of #31830, Is duplicate of #32496","I'd like to have the possibility to update issues with a csv import.
Atm, if i import a task with an already existing ID, the ID changes and a new task is created."
1984,Ability to obsolete an uploaded file,David Kowis,New,Is duplicate of #32493,"Similar to how bugzilla does it. The file is still there, but crossed out, to emphasize that it's been superseded by the newer attachment."
23546,"Issue visibility ""watched by, created by or assigned to"" for roles",Felix Schäfer,New,"Is duplicate of #27028, Is duplicate of #28223, Is duplicate of #28614, Is duplicate of #32491","There's been a bit of discussion (parts of #8488 and other) and some patches already for this or similar (#14318#note-22) and others.

We wanted to contribute our ""minimal"" solution for this. This is a new ticket to avoid discussing ever more diverging patches on for example #8488."
29272,Create several relations at the same time via Issue Relations API,César DJ Caësar 9114,New,Is duplicate of #32406,"Hi,
For the moment it's possible to get all the relations of an issue and to post only one new relation. Could it be possible to POST an array of relations to make only one call?
Thanks."
7867,"Add filters for ""Author's group"" and ""Author's role"" to issues list",Alex Belyaev,Closed,Is duplicate of #32321,Is it  possible to add group of auther for filtering of tasks?
