#,Subject,Author,Status,Related issues,Description
40586,Calendar view/page to add custom events,Tanaya Patil,Closed,"","Currently the calendar views show only events with tickets. For example, ticket start date and due date, etc.

It will be so nice if i am able to add an event of my own which is not ticked on my redmine. For example, release dates for the project"
40569,Add an option to send email notification when an attachment is added,Mizuki ISHIKAWA,Closed,"","Currently in the settings under ""Select actions for which email notifications should be sent"", if the ""Issue updated"" option is checked, an email notification is sent when an attachment is added to a issue. 
However, if the ""Issue updated"" option is unchecked, and only sub-options such as ""Note added"" or ""Status updated"" are checked, then no email notification is sent when an attachment is added.

It would be beneficial to have a separate notification setting for adding attachments, independent of other options. This would allow users to receive notifications specifically for added attachments without having to enable unrelated options. By implementing this, users can that they receive notifications tailored to their preferences, even if the ""Issue updated"" option is not selected.

!{width: 500px; border: 1px solid #ccc}screenshot%202024-04-17%2015.46.53.png!
"
40556,Focus on the textarea after clicking the Edit Journal button,Yasu Saku,Closed,"","I suggest adding the feature to focus on the textarea after clicking on the Edit Journal button.

Here is a simple patch as follows.
<pre><code class=""diff"">
diff --git a/app/views/journals/edit.js.erb b/app/views/journals/edit.js.erb
index 96cf6b4f8..49fe4bec0 100644
--- a/app/views/journals/edit.js.erb
+++ b/app/views/journals/edit.js.erb
@@ -6,3 +6,13 @@ if ($(""form#journal-<%= @journal.id %>-form"").length > 0) {
 } else {
   $(""#journal-<%= @journal.id %>-notes"").after('<%= escape_javascript(render :partial => 'notes_form') %>');
 }
+
+// Focus on the textarea
+(() => {
+  const $textarea = $(""#journal-<%= @journal.id %>-form .wiki-edit"");
+  if ($textarea.length > 0) {
+    $textarea.focus();
+    const textareaLength = $textarea.val().length;
+    $textarea.get(0).setSelectionRange(textareaLength, textareaLength);
+  }
+})();
</code></pre>"
40449,Add updated_on and updated_by fields to Issues API journal response,Thomas Hoffmann,Closed,"Related to #31505, Related to #40450","We would like to synchronize the redmine issues with our internal system via API.
For this purpose, we fetch the issues with:


<pre>
curl -H ""X-Redmine-API-Key: secret"" ""https://domain.com/issues/58.json?include=children%2Cattachments%2Crelations%2Cchangesets%2Cjournals%2Cwatchers%2Callowed_statuses"" -vv
</pre>

The journal is returned but we can't determine, which entry changed. 
Therefore, it would be helpful to not only have the created_on but also the updated_on field.

The file app/views/issues/show.api.rsb needs an extra line at line 61:

...
        api.created_on journal.created_on
	*api.updated_on journal.updated_on*
        api.private_notes journal.private_notes
...

"
40261,Request for delegate access to gem-sahay@perfios.com,Anonymous,Closed,"",Need access of gem-sahay@perfios.com as i am working on GEM project
40248,Can I enable inherit member from rails console?,Cheng-Hui PENG,Closed,"","Hi there,

I have too many project needed to enable inherit member. Can I enable it from rails consle just like I use command to enable module for each project?
!clipboard-202402172122-qyzsi.png!
"
40190,Stop appending the utf8 checkmark parameter to form URLs,Go MAEDA,Closed,Related to #31831,"Ruby on Rails appends the ""utf8=✓"" parameter to form URLs. I propose to remove this parameter by setting @config.action_view.default_enforce_utf8@ to @false@.
https://guides.rubyonrails.org/v7.1/configuring.html#config-action-view-default-enforce-utf8

The parameter is added to prevent older versions of Internet Explorer from encoding UTF-8 strings with Latin1. But Microsoft ended the support for Internet Explorer in 2021 and Redmine also dropped support for Internet Explorer in Redmine 5.0 (#34978). So, I believe the ""utf8=✓"" parameter is no longer necessary.

""What is the _snowman param in Ruby on Rails 3 forms for? - Stack Overflow"":https://stackoverflow.com/questions/3222013/what-is-the-snowman-param-in-ruby-on-rails-3-forms-for/3348524#3348524

Removing the ""utf8=✓"" parameter has the following benefits:

# URLs will be a bit cleaner
# The code to handle ""utf8=✓"" can be removed
# Problems caused by the parameter such as #31831 will never occur"
40092,Drop FastCGI support,Go MAEDA,Closed,"","As you can see in the ""changelog"":https://github.com/rack/rack/blob/3897649e8740e560a5fa142f972121a119b26b5c/CHANGELOG.md?plain=1#L141 of Rack, the FastCGI handler has been removed in Rack 3.0.0. This means that Redmine's code to support FastCGI, which relies on @Rack::Handler::FastCGI@, no longer works.

<pre>
- Removed antiquated handlers: FCGI, LSWS, SCGI, Thin. ([#1658](https://github.com/rack/rack/pull/1658), [@ioquatix])
</pre>

It is time to remove the code that no longer works and end support for FastCGI, as FastCGI is no longer a major option for deploying Ruby on Rails applications."
39997,Add an option to render values of Integer- and Float-format custom fields with thousands delimiters,Mischa The Evil,Closed,Related to #22024,"_This is extracted from #22024:_

> Mischa The Evil wrote in #22024#note-10:
> > Go MAEDA wrote in #22024#note-6:
> > > The patch by Liane Hampe also adds the ability to display thousand delimiters. However, I think displaying thousand delimiters should be out of the scope of this patch. This is because not all users may agree with always displaying the thousand delimiter. Additionally, at this time, entering a value with a thousand delimiter into a custom field results in a validation error. In my opinion, the feature to display thousand delimiters should be discussed in another issue.
> > A separate, additional feature providing a custom field option (using @field_attributes@?) to display thousand delimiters for selected @Float@ (but also @Integer@) custom fields could be nice to have in some cases when dealing with larger values, [...]
> > However, I think that Redmine doesn't need to provide support for entering values with thousands delimiters into a custom field. It feels like overkill to me."
39948,Add Redmine::Plugin proxy method for Redmine::Acts::Attachable::ObjectTypeConstraint.register_object_type,Mischa The Evil,Closed,Follows #39862,"Following #39862 I wonder: wouldn't it be neater to add a dedicated proxy method to @Redmine::Plugin@ (something like @Redmine::Plugin#attachment_object_type@) for @Redmine::Acts::Attachable::ObjectTypeConstraint.register_object_type@?
This way plugin authors don't have to reach into Redmine core internals when implementing AAA(ActsAsAttachable) for their own plugin models themselves. How do other people think about this?"
39884,Allow multiple footnotes per single word,Mischa The Evil,Closed,"","I stumbled upon this while trying to update [[RedmineInstall]] earlier today (v.336). The mention of ""2.7"" in the ""Supported Ruby versions"" column on the ""4.2"" row in the ""Ruby interpreter and supported databases"" table needs to have a reference to footnote !#1 too, but this seems in no way possible to achieve currently.

This was found on redmine.org so applies to the Textile formatter. I haven't tested this with other formatters.
"
39863,"Enable ""+"" in the project menu tab from www.redmine.org",Marius BĂLTEANU,Closed,"",""
39839,Delete users documentation,Donald Martin,Closed,"","Hi

I see this message when deleting users ""Are you sure you want to delete this user and remove all references to them? This cannot be undone. Often, locking a user instead of deleting them is the better solution""

So I've been looking to see what the references are and wether it affects our setup, I would preferably delete users than have an endless list of locked users. Looking at this link it looks to be well out of date https://www.redmine.org/projects/redmine/wiki/RedmineUsers#Deleting-a-User - can it be updated  detailing what is lost when a user is deleted?

Thanks

Donald"
39806,Improve filter rendering on narrow screens by replacing the layout tables with a flex layout,Jens Krämer,Closed,"","The current query filters and options use HTML tables for the layout, which introduces issues with wide form elements on narrow screens.

The attached patch which was extracted from ""Planio"":https://plan.io/redmine-hosting replaces the layout tables with a flex layout. The look and feel in desktop browsers should stay unchanged, but on narrow screens like mobile phones filter rows that previously just exceeded the screen width will now wrap to a new row.

"
39805,"Extend ""contains"" operator in ""Parent task"" filter to support multiple issue IDs",Go MAEDA,Closed,"","Under the ""Parent task"" filter, the ""is"" operator allows users to filter tasks by specifying multiple issue IDs (#30482). I propose extending the ""contains"" operator to multiple issue IDs, like the ""is"" operator.

With this feature, you will be able to list all descendants issues of the specified issues. Currently, you can only list child issues of multiple issues with the ""is"" operator but there is no way to list all descendants of multiple issues because the ""is"" operator only accepts single issue ID."
39763,Option to disable Issue Navigation or URL Parameters,Jorge Vaz,Closed,"","We request the ability to either disable the issue navigation feature or to remove the URL parameters it generates.

While the navigation icons themselves are not the issue, the resulting lengthy URLs are a significant inconvenience for our users.

A streamlined URL, such as @https://redmine.com/issues/1234@ is much preferred over the extended format that includes issue_count, issue_position, next_issue_id, and prev_issue_id parameters (@https://redmine.com/issues/1234?issue_count=12345&issue_position=1234&next_issue_id=1233&prev_issue_id=1235@).

A user-centric setting for this preference would be ideal, but a global system setting or another effective method would also be acceptable."
39761,Ruby 3.3 support,Go MAEDA,Closed,Copied from #38099,"Ruby 3.3.0 is going to be released on December 25th, 2023."
39591,Change URL in automatic e-mail,Julian Jakobi,Closed,"","We would like to change the link in the automatic emails that Redmine sends to users. The current link, https://redmine.frankfurt-main.ihk.de/, is no longer up to date. The link needs to be changed to: https://ffms246/. Where can we change this in the options?"
39579,"Drop official support for MySQL 5.5, 5.6 and 5.7",Marius BĂLTEANU,Closed,Related to #30419,"In Redmine version:6.0.0, we should display a warning during boot or on the Administration page if Redmine is using a MySQL version lower than 8.0:

|_.Version|_.Release Date|_.End of life|
|MySQL 8.0|April 19, 2018|April, 2026|
|MySQL 5.7|October 21, 2015  |October 21, 2023|
|MySQL 5.6|February 5, 2013  |February 5, 2021|
|MySQL 5.5|December 3, 2010 | December 3, 2018|

Cloud providers also drops support for MySQL 5.7.
		
		"
39511,Auto-detection of field wrapper type when importing CSV file,Go MAEDA,Closed,"","In the CSV import settings, there are four fields that you have to set. Of these, the field separator and file encoding are auto-detected.

In addition to these, I think the field wrapper could also be auto-detected, using a similar logic to that of the field separator's auto-detection.

<pre><code class=""diff"">
diff --git a/app/models/import.rb b/app/models/import.rb
index fe3f24fab..2674606bb 100644
--- a/app/models/import.rb
+++ b/app/models/import.rb
@@ -65,12 +65,14 @@ class Import < ActiveRecord::Base
 
   def set_default_settings(options={})
     separator = lu(user, :general_csv_separator)
+    wrapper = '""'
     encoding = lu(user, :general_csv_encoding)
     if file_exists?
       begin
         content = File.read(filepath, 256)
 
         separator = [',', ';'].max_by {|sep| content.count(sep)}
+        wrapper = ['""', ""'""].max_by {|quote_char| content.count(quote_char)}
 
         guessed_encoding = Redmine::CodesetUtil.guess_encoding(content)
         encoding =
@@ -81,7 +83,6 @@ class Import < ActiveRecord::Base
       rescue => e
       end
     end
-    wrapper = '""'
 
     date_format = lu(user, ""date.formats.default"", :default => ""foo"")
     date_format = DATE_FORMATS.first unless DATE_FORMATS.include?(date_format)
</code></pre>
"
39500,"Change the default notification option for users to ""Only for things I watch or I am assigned to""",Go MAEDA,Closed,Has duplicate #38343,"Currently, the default notification option for a new user is *""Only for things I watch or I'm involved in""* (internal_name: only_my_events) . This sends notifications when any of the following conditions are met.

* The issue/object is *watched* by the user
* The issue is *created* by the user
* The issue is *assigned* to the user

I think the default option should now be *""Only for things I watch or I am assigned to""* (internal name: only_assigned) which sends notifications when any of the following conditions are met.

* The issue/object is *watched* by the user
* The issue is *assigned* to the user

This is because Redmine 5.1.0 has an auto watch for newly created issues (#38238) and the option is enabled by default for newly created users, and the behavior of the combination of auto watch and only_my_events is somewhat confusing.

Consider the following scenario:

# Admin creates a new user. The user has all auto watches enabled by default, and the email notification option is set to only_my_events
# The user creates an issue. Since all auto watches are enabled for the user, they are added as a watcher
# The user receives notifications about the issue
# The user decides they do not want to receive notifications anymore and unwatches the issue
# But the user still receives notifications because the notification option is only_my_events, and they are the author of the issue

If the default notification option is changed from only_my_events to only_assigned, this confusion will be eliminated. Here is a scenario in this case:

# Admin creates a new user. The user has all auto watches enabled by default, and the email notification option is set to only_assigned
# The user creates an issue. Since all auto watches are enabled for the user, they are added as a watcher
# The user receives notifications about the issue
# The user decides they do not want to receive notifications anymore and unwatches the issue
# The user does not receive notifications anymore because the notification option is only_assigned, and they are no longer a watcher

As illustrated above, in Redmine 5.1, the behavior is more understandable if the notification option defaults to only_assigned."
39400,Migrate Stylelint to 15.11.0,Mischa The Evil,Closed,Follows #37987,"Stylelint should be ""migrated"":https://github.com/stylelint/stylelint/blob/main/docs/migration-guide/to-15.md to the ""latest 15.x.x"":https://github.com/stylelint/stylelint/releases release."
39238,Redirect to repositories#show after repositories#fetch_changesets to avoid the user-visible browser URL,Holger Just,Closed,"","When POST'ing to repositories#fetch_changesets, we fetch changesets and then just render the @show@ page This retains the URL of the @fetch_changesets@ action in the browser bar, e.g.

<pre>
https://redmine.example.com/projects/test/repository/demo/fetch_changesets
</pre>


Furthermore, the rendered page is the result of a POST and is thus not easily reloaded. Thus, I propose that instead of directly showing the repository again, we issue a redirect to the repository's show page. That way, the @fetch_changesets@ URL is not visible ion the browser's address bar and the page can be easily reloaded.

This is implemented in the attached patch.
"
39141,Upgrade redmine 3.3.0 (windows) to latest,Gilbert W,Closed,"","Hi,
I have a old redmine 3.3.0 windows version, and i want to upgrade it to the latest version, what is the best way? I have a Ubuntu server created to do this upgrade. 

thanks and regards."
39113,Add missing Homepage attribute in Projects API response,Vincent Robert,Closed,"","Hello

I'm submitting a patch that adds the missing 'homepage' attribute in the API response when requesting projects' index.

Thank you for considering this addition.


<pre><code class=""diff"">
diff --git a/app/views/projects/index.api.rsb b/app/views/projects/index.api.rsb
index 03c7c0c77..1f8ff74f7 100644
--- a/app/views/projects/index.api.rsb
+++ b/app/views/projects/index.api.rsb
@@ -5,6 +5,7 @@ api.array :projects, api_meta(:total_count => @project_count, :offset => @offset
       api.name        project.name
       api.identifier  project.identifier
       api.description project.description
+      api.homepage    project.homepage
       api.parent(:id => project.parent.id, :name => project.parent.name) if project.parent && project.parent.visible?
       api.status      project.status
       api.is_public   project.is_public?
diff --git a/test/integration/api_test/projects_test.rb b/test/integration/api_test/projects_test.rb
index 4b0c79fae..1423b9c8f 100644
--- a/test/integration/api_test/projects_test.rb
+++ b/test/integration/api_test/projects_test.rb
@@ -43,6 +43,7 @@ class Redmine::ApiTest::ProjectsTest < Redmine::ApiTest::Base
       assert_select '>status', :text => '1'
       assert_select '>is_public', :text => 'true'
       assert_select '>inherit_members', :text => 'true'
+      assert_select '>homepage', :text => 'http://ecookbook.somenet.foo/'
     end
   end

@@ -57,6 +58,7 @@ class Redmine::ApiTest::ProjectsTest < Redmine::ApiTest::Base
     assert_kind_of Hash, json['projects'].first
     assert json['projects'].first.has_key?('id')
     assert json['projects'].first.has_key?('inherit_members')
+    assert json['projects'].first.has_key?('homepage')
   end

   test ""GET /projects.xml with include=issue_categories should return categories"" do
@@ -102,6 +104,7 @@ class Redmine::ApiTest::ProjectsTest < Redmine::ApiTest::Base
     assert_select 'project>status', :text => '1'
     assert_select 'project>is_public', :text => 'true'
     assert_select 'project>inherit_members', :text => 'true'
+    assert_select 'project>homepage', :text => 'http://ecookbook.somenet.foo/'
     assert_select 'custom_field[name=""Development status""]', :text => 'Stable'

     assert_select 'trackers', 0
@@ -118,6 +121,7 @@ class Redmine::ApiTest::ProjectsTest < Redmine::ApiTest::Base
     assert_equal false, json['project']['inherit_members']
     assert_equal false, json['project'].has_key?('default_version')
     assert_equal false, json['project'].has_key?('default_assignee')
+    assert_equal 'http://ecookbook.somenet.foo/', json['project']['homepage']
   end

   test ""GET /projects/:id.xml with hidden custom fields should not display hidden custom fields"" do
</code></pre>
"
39111,Enable Asset Pipeline Integration using Propshaft,Takashi Kato,Closed,"Related to #40137, Related to #40204, Related to #40221, Related to #40559, Related to #37748","This patch enables the Asset Pipeline in Redmine, assuming you have upgraded to Rails 7(#36320).

Until Rails 6.1, Sprockets was a prerequisite for using the Asset Pipeline. However, starting from Rails 7, ""Propshaft"":https://github.com/rails/propshaft/ has been introduced as an alternative option.
While Propshaft offers fewer features compared to Sprockets, it boasts a smaller codebase and greater clarity in its operations (eliminating the need for a JavaScript runtime). Additionally, manifest files are no longer necessary during development.

Key benefits of using Propshaft include:

* The ability to append file digests to file names instead of Rails3 stytle cache-busting approach involving query strings at the end of assets (expected to enhance cache hit rates).
* Support for tasks like copying plugin assets to the public directory each time Redmine starts.
* Compatibility with Turbo, which is almost mandatory in Rails 7 and later. (Note that Rails 7 and later deprecate rails-ujs, the current Redmine dependency.)

To address potential challenges associated with introducing Propshaft, we have extended its functionality in the following ways:

* We've made it possible for Propshaft to handle Redmine plugin and theme assets without requiring modification(If we use propshaft in default, we will need to modify the links to other assets in stylesheets.).
* We've ensured that introducing Asset Pipeline does not necessitate rewriting existing stylesheets, thus avoiding major incompatibilities with Redmine themes.
* In a production environment, rather than manually running the rails asset:precompile command before starting Rails, we now automatically check for asset updates and run precompilation as needed. (You can disable this automatic execution by setting config.assets.redmine_detect_update to false in @config/environments/production.rb@)."
39013,WebConnect data exchange access ,Shelby Smith,Closed,"","Hello, I am trying to access the data exchange feature in WebConnect and am receiving a 403 AccessDenied/Forbidden error. Can my account settings be changed so I have access to data exchange? my WebConnect user is shelby7105. 

Thanks!

Shelby Smith 
Neogen Genomics: Product Owner - Cattle "
39003,Add css class to external links in markdown,Ulf Seltmann,Closed,Is duplicate of #20841,"Appearently there is no identifier added to external links when the renderer for wiki and tickets is markdown. Therefore plugins that add the ability to open external links in a new window cannot distinguish external from internal links.

Please modify the markdown filter to add a class ""external"" to all external links.

refs:
* https://github.com/alphanodes/additionals/issues/32
* #37713 
* #1151"
38948,Add user status to users list API,Tom Misilo,Closed,"","Allow for returning all users, and return the status of the user in the response."
38858,Grant access to variablestc@skillandyou.com,Julien Marion,Closed,"","Hi !
Would you please grant me access to this mailbox ASAP please ?
I can provide authorisation of Fabienne Prudhomme or Sophie Le Jeune by email.
I need to send email from it : my deadline tomorrow.
Regards.
Julien"
38848,Test Sijo,Sijo Jose,Closed,"",Sijo Test
38782,rbpdf Update,Brice Beaumesnil,Closed,"","rbpdf has been released today to 1.21.2
I can be updated in Redmine's Gemfile.

thanks
"
38730,Generate snake-case file name by redmine_plugin_migration,[Agileware]Haruka Asakura,Closed,"","redmine_plugin_migration must generate snake-case file name when specifying migration name as camel-case due to the consistency of the behavior, but it generates camel-case file name.

So we have created the patch for fixing redmine_plugin_migration behavior.

FYI: There was a similar issue that https://www.redmine.org/issues/28668"
38710,Redmine upgrade path,Alex Cheung,Closed,"","We are current using a very old version of Redmine : Redmine 1.3.0.stable (MySQL)

We would like to upgrade to a newer version.

Is it possible? And can you share documentation and process to perform the upgrade.

Thanks
Alex
"
38637,"Want to start issue number (1) for new project, after deleting old project",Kaung  KK,Closed,Has duplicate #38642,"Hello,

I would like to make Issue Number (1) for new project after creating new project.

But it doesn't start number (1) for new project. It is continued starts after deleting old project number.

Please kindly help it.

I do not see Under the ""Projects"" section, click on ""Settings"" and then select ""Numbering"" from the dropdown menu too.

Thanks"
38585,Drop Ruby 2.7 and 3.0 support,C S,Closed,Blocks #40197,"Ruby 2.7 is EOL (https://www.ruby-lang.org/en/downloads/branches/)
Since Redmine 4.2 supports Ruby 2.7 at most, this should also be set to EOL..."
38527,"New issues filter operators ""has been"", ""has never been"", and ""changed from""",Go MAEDA,Closed,"Related to #3001, Related to #3586, Related to #9714, Related to #31381, Related to #38788","The attached (unfinished) patch adds new filter operators ""changed from"", ""has ever been"" and ""has never been"". The difference from the existing operators is that they check past values in the journal_details table. These new operators are available for Status, Tracker, Priority, Assignee, Target version, and Category filters.

* ""changed from"": selects issues where the value has ever changed from the given value
* ""has ever been"": selects issues where the value has ever changed from the given value, or the current value is the given value (equivalent to ""changed from"" + ""is"")
* ""has never been"": selects issues where the value has never been the given value (the negative of ""has ever been"")

Examples:
* [Assignee][has ever been][<< Me >>]: selects issues you have been assigned in the past or are currently assigned to
* [Assignee][changed from][<< Me >>]: selects issues that were assigned to you in the past but the current assignee is not you
* [Assignee][has never been][<< Me >>]: selects issues that have never been assigned to you

The following feature requests will be fulfilled if the operators are implemented.

* ##3001
* ##3586
* ##9714
* ##31381"
38498,Not able to add new project in project tab,Mitul Jagushte,Closed,"",Project tab is not giving any option to add new project
