#,Subject,Author,Status,Related issues,Description
40588,Ability to disable table sort,Josiah Ulfers,Needs feedback,Related to #1718,"I find the table sorting introduced by #1718 annoying because most of the tables I use are not usefully sortable and the sort as implemented can be a nuisance.

I would like an *option to turn off the JavaScript sorting globally*, that is, restore the behavior prior to #1718.

Globally might mean ""per project."" I use Redmine hosted on Planio and I'm not sure how the clients there are technically separated.

----

The specific problems are immaterial if there's an option to turn off table sorting, but I'll show the problems as motivation.

For example, I use tables like this:

|_. First group   | Gizmos A |
|_. Second        | Widgets B |
|_/2. Third       | Widgets A |
                  | Gizmos B |
|_. Fourth        | Gadgets |


Hovering table headers causes the sort arrow to appear briefly. That changes the dimensions of the cells and can cause a jarring blinking effect as the table columns resize.

It's hard to _select_ part of the text in a table cell. If I click and drag over just the word ""first"" for example, when I let up the mouse button, it sorts instead of keeping my selection. I can work around this by moving the mouse outside the cell before letting up the button, but that's easily forgotten.

Once I've sorted the table one time, often by accident as above, no amount of clicking returns it to the original order. An example table on [[RedmineTextFormattingTextile]] suffers from this problem as well.

The example table from [[RedmineTextFormattingTextile]] also shows that apparently the same sorting choice can produce different orderings.

| !{height:100px}clipboard-202404181831-c0ryh.png! | !{height:100px}clipboard-202404181833-tgair.png! |

That might be related to improper handling of row and column spans. With the simpler example here, a rowspan can rearrange cells into the wrong columns and associate them with the wrong headers.

|_. Original |_. Sorted |
| !{height:100px}clipboard-202404181812-io99s.png! | !{height:100px}clipboard-202404181812-vdkwz.png! |

#1718#note-17 lists some other potential problems.

----

Wiki syntax to disable sort per table or per column would be an alternative. Such syntax might already exist since #1718 says I can ""explicitly set the sort algorithm by adding one of the following classNames to the associated table header… sortable-keep (which keeps the row in it’s original order)."" Forgive my ignorance, but I don't know how to add classNames in wiki syntax, [[RedmineTextFormattingTextile]] doesn't mention it.

For me, however, removing JavaScript sort or a global option to turn it off would be better that fine-grained wiki syntax."
40552,Activate CustomField when status changes,Thomas Le Large,New,"","Hello,

I'd like to know if it's possible to automate a task using a custom workflow for this type of action.

When the status of a request changes from ""Transmitted"" to ""Accepted with reserves"", a custom field that was not initially visible on this tracker should appear at that moment and remain until the ticket is closed. This custom field is called ""Background"" and takes the form of a drop-down list with different values.

If you know how to code this in a custom workflow, I'd love to know ;)
"
40489,`copyTextToClipboard` to make it easy to see that you have copied to the clipboard,Abe Tomoaki,New,"","You can copy the URL of an issue by clicking `Copy Link`, but sometimes you think you have copied it, but you have not.
How about a little popup saying `Copied!` to make it easier to see that it has been copied?

Here is an example of a patch. 

<pre><code class=""diff"">
diff --git a/app/assets/javascripts/application.js b/app/assets/javascripts/application.js
index 320efd263..12e4aa5d2 100644
--- a/app/assets/javascripts/application.js
+++ b/app/assets/javascripts/application.js
@@ -589,6 +589,28 @@ function randomKey(size) {
   return key;
 }
 
+function copiedPopup() {
+  $('<div>')
+    .css({
+      position: 'absolute',
+      top: 0,
+      right: 0,
+      bottom: 0,
+      left: 0,
+      margin: 'auto',
+      height: 20,
+      width: 80,
+      'text-align': 'center'
+    })
+    .appendTo(document.body)
+    .text('Copied!')
+    .addClass('ui-state-default')
+    .delay(500)
+    .fadeOut(function() {
+      $(this).remove();
+    });
+}
+
 function copyTextToClipboard(target) {
   if (target) {
     var temp = document.createElement('textarea');
@@ -602,6 +624,7 @@ function copyTextToClipboard(target) {
     if ($(target).closest('.drdn.expanded').length) {
       $(target).closest('.drdn.expanded').removeClass(""expanded"");
     }
+    copiedPopup()
   }
   return false;
 }
</code></pre>"
40450,Add API-Request for fetching Journals which has changed since a certain date/time,Thomas Hoffmann,New,Related to #40449,"We want to synchronize the redmine issues with our internal system.
For this purpose, we need a feature to fetch changed journal entries of an issue.
Editing a journal entry doesn't change the updated_on field of the issue.

Therefore, we would like to have a GET call like:
<pre>
https://domain.com/journals.json?updated_on=%3E%3D2024-03-25T07%3A24%3A03Z
</pre>

Currently, the journals endpoint only supports updates, but no GET requests."
40442,reply hyperlink requires class name,tomy shen,New,"","Hi,
I am a redmine user who is designing redmine themes. I am currently having difficulties with the design of the forum pages. For example, the hyperlinks such as 「 *reply* 」do not have any CSS class name for me to design, the same situation also occurs on the news page.（Please refer to the attached file）

Should a CSS class name be added to this hyperlink? I think it's necessary"
40425,Custom fields » Tasks » New custom field » Format » List » Possible values text colour,Gco IT,New,"","Any ideas on how to highlight the font colors after submit a issue, I selected a point? use in list format. 

--Please Select--
%{color:red}Testuser%
%{color:orange}Testuser%
%{color:blue}Testuser%"
40422,Print name and email to request that was create through email,Filip Skřivánek,New,"","We have introduced an enhancement to our email-based task creation functionality.

Traditionally, we have utilized the IMAP method for generating new tasks through emails, as detailed on the Redmine documentation page: https://www.redmine.org/projects/redmine/wiki/redminereceivingemails#Fetching-emails-from-an-IMAP-server.

Due to security considerations, we opted against using the parameter unknown_user=""create"" which would automatically create a new Redmine user if the email sender wasn't recognized. Instead, we chose the unknown_user=""accept"" setting. This approach, however, resulted in tasks that seemed to be created by an anonymous user, without indicating the email sender's identity.

To address this issue, we've added a novel parameter ""insert_name_and_email_to_description"". When set to 1, this parameter ensures that the sender's name and email address are included in the first line of the task description in the format <<<[name-from-header];[email-sender]>>> as illustrated in the attached screenshot.

!Screenshot%202024-03-18%20at%2013.24.09.png!

Below is an example of how we invoke the script with this new parameter:

<pre><code class=""shell"">
/opt/bitnami/ruby/bin/bundle exec /opt/bitnami/ruby/bin/rake redmine:email:receive_imap RAILS_ENV=""production"" host=""xxx"" username=""xxx"" password=""xxx"" unknown_user=""accept"" no_permission_check=1 project=""xxx"" no_account_notice=1 insert_name_and_email_to_description=1 --trace
</code></pre>

It's important to note that the ""insert_name_and_email_to_description"" parameter is optional. If it's not set, or if its value is 0, the functionality reverts to its previous behavior.

I am also attaching a ""patch"" file detailing these modifications against the last commit on the master branch in our git repository."
40421,Not able to fetch email through o365 email ID,Vishal Patel,New,"","Hi,

I have tried to fetch email through the o365 email id, but not able to do it. Is there any advanced configuration required? My email account is configured with the two-step authentication. We are using a work account.

Thanks,
Vishal Patel"
40415,Document Journals API,Holger Just,New,"","#10171 added an API to update journal's notes. This should be documented in the Wiki, namely ""Rest_Journals"":/projects/redmine/wiki/Rest_Journals?parent=Rest_api"
40411,The watch button/link should show if the issue is watched by group,Felix Schäfer,New,Related to #4511,"When a user watches an issue because of a group membership and the user does not have the `view_issue_watchers` permission, the user cannot see that she is watching the issue.

Currently the button link shows:
- ""Watch"" when the user is not watching the issue or watching via a group
- ""Unwatch"" when the user is watching the issue

It would be possible to show a third state for the button/link:
- ""Watch"" when the user is not watching the issue
- ""Watched by group"" when the user is not watching the issue but is watching the issue via a group
- ""Unwatch"" when the user is watching the issue

The button/link would toggle between first and third state when the user is not also watching the issue via a group, and between second and third state when the user is also watching via a group."
40299,Subproject to inherit the wiki from project,Alexandre Camsonne,New,"","Hello,

not sure if that was already requested,

but I was thinking it would be convenient that if a subproject does not have wiki module checked, it inherits from wiki of parent project so all subproject wiki could be consolidated in the parent wiki.

So far only solution I see is to make a table of links to subproject wiki in the parent project wiki manually which is not practical. Or if an link to the subproject wiki would be automatically created in the parent wiki that would work too but sounds more complicated"
40277,Set day as non-working for purposes of Precedes and Following relationships,Dotan Cohen,New,"","In my opinion Redmine would benefit from the ability to set a specific, non-recurring day as a non-work day. An example of such a day would be a national holiday. This would affect the scheduling of Precedes and Following relationships."
40266,Proposal to Include Direct Links to Attached Files in PDF Exports of Issues,Yazan Al aeddin,New,"","
I propose implementing a patch to include direct links to attached files when exporting issues to PDF format. This enhancement will improve the accessibility and usability of exported PDF documents, allowing users to easily access attached files directly from the PDF.

I will provide a patch for the proposed enhancement along with relevant tests to ensure its functionality and reliability.
Thank you for considering this improvement."
40234,Developer guide generating test data,Aleksandar Pavic,New,"","I have created a wiki page which would be nice to be added to locked page:

https://www.redmine.org/projects/redmine/wiki/Developer_Guide


This is the page that I have created:
https://www.redmine.org/projects/redmine/wiki/Generating_demo_data"
40159,Back date entries resttriction  ,Amit Saxena,New,"","I want configure start date/due date 

But start date can be selected only 2 days back from current calander date 

Is there any feature "
40149,Drop deprecated Redcarpet based Markdown formatter,Go MAEDA,New,"","In Redmine 5.1, the Redcarpet-based Markdown formatter is deprecated and CommonMark Markdown is the default instead.

Since CommonMark Markdown has been used by users without any particular problems, I think we can discontinue the deprecated Redcarpet-based Markdown."
40103,"Allow to ""watch"" projects to get notifications",Jens Krämer,New,"","As discussed in #39854, having the option to ""watch"" projects would give users a straight forward way to subscribe to notifications about project activity, similar to watching an issue subscribes to notifications about activity regarding this issue.

This could potentially replace the current notification setting to be notified for a given list of selected projects in ""My Account""."
40084,Static custom field for informational purpose,philippe lhardy,New,"","Create a new kind of field that contains static information readable only.
This custom field value is shared among issues and no dedicated value is set in issue.

See context of this request here : https://www.redmine.org/boards/1/topics/69072"
40054,Add Issue query option to include parent issue into search results,Sebastian Paluch,New,"","Issue query returns a list of issues that meets all filters. Often parent issues do not meet all the filters. As a result, query returns a flat list of issues without a way to show hierarchical structure.

So, please add a new query option (checkbox) to include all parents of all issues that meets the query filters."
39882,Highlight selected version on the Roadmap view,Mischa The Evil,New,"","It can be helpful to have the selected version's heading highlighted on the Roadmap (@versions#index@) view. This would also be in line with what we currently already have for selected issue journals, forum topic replies (i.e. messages) and wiki page headings.
This proposed highlight could have a border-radius dependent of #39880."
39881,Improve progress bars,Mischa The Evil,New,"","I think that the UI of the progress bars in Redmine could benefit from some TLC:
* improve and modernize the HTML structure (inspiration for this can be gathered from old ChiliProject issue ""CP #1056"":https://www.chiliproject.org/issues/1056 [""PR #213 at GitHub"":https://github.com/chiliproject/chiliproject/pull/213]... );
* add a small (3px?) border-radius to the outer borders."
39880,Add a small border-radius to selected (author) headings,Mischa The Evil,New,Related to #40744,"Now that border-radius is already sparsely used in the Redmine core, there are three additional places that I've come across where a small border-radius (3px?) would be nice to have:
* selected issue journals
** {{collapse(CSS selector:)
<pre><code class=""css"">#history div:target h4.note-header</code></pre>
}} 
* selected forum topic replies (i.e. messages)
** {{collapse(CSS selector:)
<pre><code class=""css"">#replies .reply:target h4.reply-header</code></pre>
}}
* selected wiki page headings
** {{collapse(CSS selector:)
<pre><code class=""css"">div.wiki a:target + h1, div.wiki a:target + h2, div.wiki a:target + h3, div.wiki a:target + h4, div.wiki a:target + h5, div.wiki a:target + h6</code></pre>
}}

There actually is a fourth place, but that one (the progress bars) needs, IMHO, more work first and in addition to it, so I'll leave it out of this issue to keep this small and easy.
-- _author edit: this is now tracked in #39881._
"
39783,Email notification settings,Donald Martin,New,"","Hi 

It would be great if we had more flexibility in email setup for non registered users - I hope you can help?

Would it be possible to look at having a per project option of using default email address or custom address when sending out email alerts?

Also at present its only project members who are able to receive ticket updates, could it be possible to have a cc field in which you could specify other email address (non registered users) when making ticket updates.

These two options combined would make the workflow of ticket handling for non registered users a lot slicker.


I found these in the forums which are similar https://www.redmine.org/boards/1/topics/48847
https://www.redmine.org/boards/2/topics/2476


Thanks in advance for your time and keep up the great work 

Donald"
39774,Add logging for issue deletion,Go MAEDA,New,Related to #25924,"The attached patch introduces a new feature in the Issue model to log every issue deletion, enhancing audit trails.

My clients sometimes ask me to identify when and who deleted an issue, especially when deletions are accidental. For a single issue, you can pinpoint the responsible user by finding a line in the production.log that begins with ""DELETE /issues/"". From the following log, for instance, shows that ""admin"" deleted issue @#1@ at 2023-12-04 21:30:11.

<pre>
Started DELETE ""/issues/1"" for 127.0.0.1 at 2023-12-04 21:30:11 +0900
Processing by IssuesController#destroy as HTML
  Parameters: {""utf8""=>""✓"", ""authenticity_token""=>""ivRuWNmGQjuDdNNgG6EeQLCF5b82SF3lx8-AwC-ML7CZ39cktgG40TiwjsmfOk0Wexs3UQsFt-cjT7dGOHt3Lg"", ""ids""=>[""1""], ""todo""=>""destroy"", ""reassign_to_id""=>"""", ""commit""=>""Apply"", ""id""=>""1""}
  Current user: admin (id=1)
Redirected to http://localhost:3000/projects/ecookbook/issues
Completed 302 Found in 31ms (ActiveRecord: 5.7ms | Allocations: 14032)
</pre>

However, identifying deletions is not possible when multiple issues are involved. For example, if issue @#1@ with subtask @#15@ and @#16@ is deleted, the log does not record the deletion of these subtasks. This lack of detailed logging poses a significant auditing problem.

To address this, the attached patch ensures that a ""Deleted issue: ..."" line is output to the production.log for each deleted issue, as shown below. This enhancement allows for comprehensive tracking of issue deletions.

<pre>
Started DELETE ""/issues/1"" for 127.0.0.1 at 2023-12-04 21:45:17 +0900
Processing by IssuesController#destroy as HTML
  Parameters: {""utf8""=>""✓"", ""authenticity_token""=>""i6hBpwCTeMt_ZpTAeq5zWyOlVMCi0Lxdv2n7SM7y0hKIrzgAIsxdNIqavoyNgpRIfQFOwqc6TLzBexEphZR2Ug"", ""ids""=>[""1""], ""todo""=>""destroy"", ""reassign_to_id""=>"""", ""commit""=>""Apply"", ""id""=>""1""}
  Current user: admin (id=1)
Deleted issue: 'Feature request #15: Add a great feature' by Redmine Admin
Deleted issue: 'Bug #16: Serious bug that must be fixed ASAP' by Redmine Admin
Deleted issue: 'Bug #1: Cannot print recipes' by Redmine Admin
Redirected to http://localhost:3000/projects/ecookbook/issues
Completed 302 Found in 54ms (ActiveRecord: 10.1ms | Allocations: 32921)
</pre>"
39733,"Make it possible to change the logo with a custom image (support svg, png etc) via UI",pasquale [:dedalus],New,"","At this moment, there are various ways to change the official redmine logo with your company logo: generally you need to edit the application.css file or use node npm in the case of sass-based themes. It would be appropriate to make this operation more user friendly, allowing you to change the image via the UI (perhaps from administration-settings-display)."
39723,Add 'Assigned to You' Tag in Email Subjects for Personal Assignments,Takenori TAKAKI,New,"","I'm proposing a feature to add an ""Assigned to You"" tag in the email subject for issues personally assigned to a user.
This tag will be optional and can be enabled or disabled based on user preference.
The goal is to make it easier for users to quickly identify emails related to issues they are responsible for, enhancing productivity and email management efficiency.
This small change could make a significant difference in daily workflow for many users."
39713,Add technical identifier on some objects,Jérôme Gallot,New,"","Hi,

Actually Lot of objects in redmine had an id or a name (visible by users) but no reliable field between several redmine environnements (several database, several uses)

I work with several environnements with databases which are not synchronized (so ID are différents between them, and name can evolved et be different)

I need to synchonize parts of Redmine between environnements (always in the same way environnement A -> environnement B)

For me, it's not reliable to create my synchronization on an ID or a Name, i think we should have a technical name/identifier on the objects.

So what do you think of adding an identifier at least on those elements :

- custom fields
- trackers
- workflows
- -projects (already exists)
- roles

What do you think of this feature ?

Regards
"
39712,Add comment on custom fields,Jérôme Gallot,New,"","Hi, 

We had a lot of customfields on our projects and we would appreciate to add more information on it.

There is a description but it only to be visualized by users.

We'd like to have a field like 'Comment' to add comment on custom field in order to add information of the context.
This field could be only view by super administrator

Exemple 1 : 2 custom fields witch same visible name (but one with 1 space in name), i'd like to specify the use of those fields
Exemple 2 : custom field are too short, the comment can help the administrator to best maintain this custom field

Will it be usefull for other people ?"
39530,Feature to Group Custom Fields by Category,philippe lhardy,New,Related to #35281,"Enhance custom fields with a category that will be used to group all custom fields within a single table/frame for a very same category at display.

Initial topic discussion for context of this request is there: message#69072."
39529,Add tooltips for clarifying non-notifiable user mentions,Mizuki ISHIKAWA,New,Related to #39528,"Currently, when a user without permission to view a particular issue is mentioned, they do not receive a notification email. However, visually, the mention link appears identical to others, which can be misleading as there's no indication that no email was sent.

In issue ##39528, I proposed changing the background color of mention links for such users to make it clear they are non-notifiable. However, I believe that visual change alone may not sufficiently convey the intent to users. Therefore, I suggest using tooltips to display a message clarifying the status of the mention.
Yet, since tooltips are only used for displaying title attributes right now, expanding their use might require some discussion, which is why I have created a separate ticket for this matter."
39528,Change mention link color for users without access to view issues,Mizuki ISHIKAWA,New,Related to #39529,"I propose a feature enhancement for better visibility regarding user permissions and mention notifications. Currently, when a user who does not have the permission to view a particular issue is mentioned, they do not receive a mention notification email. However, this is not visually apparent since the mention link looks identical to others, potentially leading to confusion over whether a notification was sent.

To improve clarity, I suggest altering the background color of mention links for users who cannot view the issue. This visual cue would instantly inform others that the mentioned individual may not be notified due to permission restrictions. "
39515,"dir=""auto"" on all text fields",mohammad assar,New,"","Multi language text input require `dir=""auto""` on text input, this simple change would significantly improve redmine for all Multilanguage usage"
39219,Pop up warning when logged hours extend the expectation,Tomasz Kinal,New,"","_When you are trying to log more charged hours to a task than it was expected, there should be a pop up warning to the user.
This way the user can report to the project owner, that a extension of this task / work package is needed.
Then it will be easier to keep track of the used and open hours in hour based contracts with the customer.
_

Is there any plugin or Redmine feature to achieve that?
"
39212,Support tab separated text in importers,Go MAEDA,New,"","Importers in Redmine currently support comma-separated text and semicolon-separated text but don't support tab-separated text.

Since tab-separated text is as widely used as CSV, it is nice to have the feature to import it in Redmine."
39178,Issue visibility,Hoang Tuong Tran,New,"","_*Hi everyone,*_
I have a scenario with Issue permission like this:
I have a Project A to store issues (Aa, Ab, Ac) but some issues is sensitive and can only show to some specific users (U1, U2, U3, U4, U5) and cannot show to other members in the project (each issues have their own privacy).

- *In issue Aa* (related to U1, U2): I set to Private then, change ' *Issues visibility* ' of U1, U2 to ' _All Issue_ '. Then U1, U2 can see Aa;
- After 3 days, another admin create Issue *Ab* and *Ac* with ' _Private_ ' activated and only want to show to U3, U4 so he have to change ' *Issues visibility* ' of U3, U4 to ' _All Issue_ '.

+*Now this is a disater*+  : U3, U4 can freely view Issue Aa which I don't want to show them vice versa with Issue Ab, Ac now show to U1, U2. U1, U2, U3, U4 now peeps others Issue and lead to Internal Fraud which I do not want from the beginning.

Hope you guys can understand the scenario above and have a solution.

_*Thank you, Have a nice day!*_"
39160,"Add ""Statuses"" filter when creating new ""Issue"" custom fields",Zee Prime,Needs feedback,"","Custom fields on issues can be associated with specific Trackers, so a custom field that is associated with ""Bug"" will be hidden on issues of other types.  However, if that custom field is ""required"" then it is required for every status of that issue throughout its workflow.  

In many workflows, specific pieces of information are added to an issue throughout its workflow and not all at the beginning, so it would be most useful if custom fields could reflect this.  For example, in the workflow of a ""Bug"" when the tester sets the status to ""Verified"" that tester should note the version number that they tested and the environment that they tested it in.  If a user sets the bug to ""Rejected"" they should provide an explanation for why it is rejected.

Currently, we keep all of this information in ""Notes"" and it is the responsibility of each user to remember what needs to be added based on the status they're switching from/to.  However, if we could keep this in custom fields that are selectively shown at specific points in the workflow this would both better enforce compliance and would store that information in a more structured way that we could leverage better in custom queries and reports."
39138,Automatically recording activity into issue hours,Yeats Luo,New,"","Redmine has a flexible framework but terrible UX.

I am wishing for an automatic feature here.

Since the activity of a user is recorded, why don't they be recorded as working hours related to particular issues, whether automatically or manually.  

It would be easier especially when someone is editing and expanding the contents of an issue, the working hours should be contributed to that issue."
39135,Kurdish - ckb (central Kurdish),Peter Ko,New,"","Hi,
Please add these translation files to your repo, please help and let us add help files later.
CKB - Kurdish (Ku)"
39130,Common Formatting - Check tasklist item without editing function,C S,New,"","The task list function was integrated in feature #35742 - however, there is still no support for activating these entries without the editing function"
39074,Localize test email text,Liane Hampe,New,"","There are 2 email views

+ test_email.html.erb
+ test_email.text.erb

having no localized text:


<pre><code class=""ruby"">
# test_email.html.erb
<p>This is a test email sent by Redmine.<br />
Redmine URL: <%= link_to @url, @url %></p>

# test_email.text.erb
This is a test email sent by Redmine.
Redmine URL: <%= @url %>
</code></pre>

Supporting a translated text also for test email is only little effort but would improve consistency and user experience.
"
39069,New permission to edit log time during a configurable number of days. ,benoit de vos,New,"","It would be nice to have a new permission that would allow users to edit their own log time but only for a configurable number of days. 

As an example if the configuration is set to 7 days, users can modify their logs during one week (in the past). 

if the configuration is set to one day , they can modify their timesheets up to yesterday"
39030,API - creation/update wiki page - need to specify parent page,Carcharodon C,New,"","Hey, everybody!

It would be great if the API for wiki pages could have the option to specify a parent page when creating or modifying a wiki page."
39015,Custom field with the ability to enter only unique data.,Evgeniy Lev,New,"","The task is as follows: I created a custom field ""MAC address PC"" and I want only a unique MAC address value to be entered in this field. To make it impossible to assign the same addresses to different devices. According to the same principle, create another field name PC: ""sv-srv-vk-20-1"" so that it is also unique and cannot be repeated. I've only been studying Redmine for a week. Maybe there is some kind of plugin or implementation instructions?"
38985,Adding a wiki page to My Page,thuruk thuruk,New,"","It would be awesome to have the ability to add a wiki page to My page, and be able to edit it should we have the right to.
Thanks !"
38957,Custom Field - Multidimensional Array,C S,New,"","I'm looking for a way for a multidimensional array to be able to capture the following scheme:

Custom field: model (wood screw, diameter 4mm)
Definition 1: model type (length)
Value 1: value (order quantity)

Of course, it would be even better if the definitions were variable and you could create even more dimensions:

Custom Field: Model (Wood Screw)
Definition 1: model type 1(length)
Definition 2: Model type 2 (diameter)
Value 1: value (order quantity)"
38951,Enable journaling on projects,salman mp,New,"","It's so usefull to have history of project field and custom fields changes.
Also it's desirable about project settings changes."
38943,"Add ""Assign to creator"" option in the dropdown to issue edit form.",Piko Tao,New,"","Since we have ""<<me>>"" option in issue edit form for user to assign to himself quickly, 
would it be possible to add one more option ""<<creator>>""?

I think it will be very convenient to return issue back to the creator of each issue."
38879,Top Menu -- Additional links as a core feature or self-contained addon,Steven Uggowitzer,New,"","Until awhile ago, the additionals plugin (and previously redmine_tweaks) had a nice feature wherein one could add custom top menu items via a simple UI.  It looked like this:

!Screenshot%202023-07-24%20at%2013.17.18.png!
!Screenshot%202023-07-24%20at%2013.17.25.png!

See: https://github.com/alphanodes/additionals/issues/149

Has someone written a self-contained plugin which effectively does the same thing?  Could the old code be recast as a separate plugin restoring this functionality?  Is this something that could be made core to Redmine to allow the admin to highlight some key links in the top menu?


"
38853,do not disclose login account names (public projects disclose some user info),Thomas Meyer,New,"","As message#67884 did not get any reaction, I think it is worth submitting a ticket:

Following the message#51163 discussion:

We recently observed the fact that Redmine (at least until Remdmine 4.2) has the somewhat doubtable default setting that role 2 (anonymous) has the right to see all users and not only members of visible projects. I would say the latter would be a better default.

Furthermore, when there are public projects, all members of these projects are still visible to the public, together with their (login) account name, which is, in case of directory integration, their user name.

This clearly is an information that should not go to the public.

So I would suggest to

* not disclose redmine login account names to the public, even in public projects (this could probably be reached by adding a nick for public display)
* provide an option to add noindex directives to search bots for user and group information

Kind regards, Tom

> Environment:
> Redmine version 5.0.5.stable
> Ruby version 2.7.5-p203 (2021-11-24) [x86_64-linux-gnu]
> Rails version 6.1.7.2
> Environment production
> Database adapter PostgreSQL
> Mailer queue ActiveJob::QueueAdapters::AsyncAdapter
> Mailer delivery smtp
> Redmine settings:
> Redmine theme Default
> SCM:
> Subversion 1.13.0
> Mercurial 5.3.1
> Cvs 1.12.13
> Bazaar 3.0.2
> Git 2.39.2
> Filesystem
> Redmine plugins:
> no plugin installed
"
38840,A developer or project manager can relate an issue to another while editing the issue.,benjamin melançon,New,"","When filing a ticket, that's often when i have the relationship to another ticket in mind.  Having to finish writing the issue, save it, and then remember to add the related issue always adds a bit of cognitive overhead.

A flip side of #38839 but these are my main user experience hurdles with Redmine.

For this one, ""slash commands"" (like @/relate #38839@) that can be put into descriptions and notes and act on save would work for me also."
38839,A developer or project manager can update an issue (submit a note) without editing the issue first,benjamin melançon,New,"",A person ought to be able to make a status update without the extra click (and visual noise) of editing the ticket first.
38837,Export attachments of several issues simultaneous,André Amaral,New,"","Hi, How to export attachments from multiple simultaneous issues?"
38805,Add support for GitHub,Tiago Franco,Needs feedback,"","GitHub is the dominant player in version control, and it would be very appealing to new adopters to use Redmine."
38651,I would like to improve the user experience (UX) of the project selection in the custom field editing screen.,madoka KAMIYA,New,"","I would like to improve the user experience (UX) of the project selection in the custom field editing screen.

When there are a large number of projects, it becomes very cumbersome to make selections, especially when I want to enable custom fields only for specific hierarchies.

It would be great if we could have the ability to selectively turn on/off checkboxes for only a portion of the project tree."
38650,The design of the tracker selection UI on the custom field editing screen and the project settings screen should be aligned to create a sense of coherence and unity.,madoka KAMIYA,New,"","I would like to tidy up the selection field for trackers on the custom field editing screen for the following reasons:

Enhance user experience by making it easier to locate and select trackers.

Facilitate efficient data entry and management by providing a cleaner interface.

So we want to unify the UI with the project settings UI.

"
